filename,region,het,echtpaar,adopteert,voor,veel,geld,een,tweejarig,weesje
16266-1464423375-2079959,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
16334-1464127765-1895172,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
16451-1464479694-2112316,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@,twejar@x,wesj@
16681-1465718982-2302671,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,for,fel,xeclt,@n,twejar@x,wesj@
1669-1449165132-107838,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vo,fel,xecl,@,twejar@x,wicsj@
16704-1465674692-2300977,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wicsj@
16771-1466244922-2335031,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
1687-1449167583-116158,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,fo,fel,xeclt,n,twejar@x,wicsj@
1707-1449560854-468040,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
17145-1472372631-2441928,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vo,vel,xecl,n,twejar@x,wesj@
172-1449072296-20043,Groningen_and_Drenthe,hect,ecxtpar,@docpt@rt,fo,vel,xecl,@n,twejar@x,wicsj@
17227-1472373816-2450097,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,vel,xecl,@n,twejar@x,wicsj@
17301-1472374466-2453833,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,vor,fel,xecl,@n,twejar@x,wesj@
17402-1473100627-2483100,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vo,fel,xecl,@n,twejar@x,wesj@
17416-1473618605-2485876,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,vor,fel,xecl,@n,twejar@x,wesj@
17490-1474968972-2496994,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,vo,fel,xecl,@n,twejar@x,wesj@
1788-1449176590-140552,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,vo,vel,xecl,@n,twejar@x,wesj@
1794-1449178383-143998,Groningen_and_Drenthe,hect,@xtp@r,acdocptir,vo,fel,xeclt,n,twejar@x,wesj@
1807-1449228778-187161,Groningen_and_Drenthe,hect,ecxtpacr,acdocptirt,fo,vel,xeclt,n,twejar@x,wesj@
1902-1449227673-185220,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
1944-1449217839-173796,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xeclt,@n,twejar@x,wesj@
203-1449073688-23851,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
2108-1450877783-710812,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
214-1449072429-21782,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,vor,vel,xecl,@n,twejar@x,wesj@
2200-1449273196-248456,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
2310-1449311117-260283,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,fel,xecl,@n,twejar@x,wesj@
2349-1449317114-272501,Groningen_and_Drenthe,hect,ecxtpa,@docpt@rt,fo,fel,xeclt,@n,twejar@x,wesj@
235-1449072800-22150,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
2381-1449436669-398073,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
2409-1449402346-346639,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
243-1449247203-208367,Groningen_and_Drenthe,hect,@xtp@r,acdocptir,fo,vel,xecl,@n,twejar@x,wicsj@
2499-1449338661-304165,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,fel,xecl,@,twejar@x,wesj@
2551-1449326004-287721,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
266-1449093550-25487,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
28-1449324790-286141,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
2825-1450544748-725221,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
2860-1449396166-339438,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,vel,xeclt,@,twejar@x,wesj@
2963-1449406967-357155,Groningen_and_Drenthe,hect,ecxtpacr,acdocptirt,vor,vel,xecl,n,twicjacr@x,wesj@
2964-1449427664-386189,Groningen_and_Drenthe,hect,ecxtpac,acdocptirt,vo,fel,xeclt,@n,twejar@x,wesj@
298-1449077585-29450,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vor,vel,xecl,@n,twejar@x,wicsj@
299-1449077410-29351,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wicsj@
2998-1449408805-359741,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,fel,xeclt,@n,twejar@x,wicsj@
3041-1449410405-362899,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,vor,vel,xeclt,@n,twejar@x,wesj@
3054-1449432568-392340,Groningen_and_Drenthe,hect,ecxtpacr,acdocptirt,for,fel,xeclt,n,twicjacr@x,wesj@
3084-1449417923-374527,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xeclt,@n,twejar@x,wesj@
313-1449077932-31061,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,for,vel,xeclt,@n,twejar@x,wesj@
318-1449077686-30596,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xecl,@,twejar@x,wesj@
3282-1449501747-431240,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,for,vel,xeclt,@n,twejar@x,wesj@
333-1449079223-32746,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xecl,@,twejar@x,wicsj@
3354-1449517175-448692,Groningen_and_Drenthe,hect,ecxtpac,@docpt@rt,vo,vel,xeclt,@n,twejar@x,wesj@
3385-1450451261-715976,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
3419-1449532437-466218,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,for,fel,xeclt,@n,twejar@x,wesj@
3526-1452165480-863679,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
3944-1454352745-1226047,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,vel,xecl,n,twejar@x,wesj@
3966-1449925080-607610,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,fel,xecl,n,twejar@x,wesj@
3984-1450771043-609263,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,fo,fel,xecl,n,twejar@x,wesj@
4078-1449967089-628332,Groningen_and_Drenthe,hect,ecxtpa,@docpt@rt,fo,vel,xecl,@n,twejar@x,wesj@
4111-1449997985-632340,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xecl,n,twejar@x,wicsj@
4181-1451246062-794435,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,vor,fel,xecl,@n,twejar@x,wesj@
420-1449305699-257007,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,vo,vel,xeclt,@n,twejar@x,wesj@
4357-1450260941-695122,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
4378-1450291758-702392,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
4406-1450612949-739485,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
4441-1450691237-750143,Groningen_and_Drenthe,hect,ecxtpacr,@docpt@rt,for,vel,xeclt,@n,twejar@x,wesj@
4504-1450905222-743542,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
4616-1450702394-752511,Groningen_and_Drenthe,hect,@xtpacr,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
4725-1451142347-786331,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vor,vel,xecl,@n,twejar@x,wesj@
4737-1451215556-791026,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
4766-1451320815-801357,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wicsj@
4895-1451511219-828655,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vor,vel,xecl,@n,twejar@x,wesj@
4923-1453396218-836646,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xecl,@n,twejar@x,wicsj@
5153-1453227181-908828,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wicsj@
5191-1453713293-918540,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,for,fel,xeclt,@n,twejar@x,wesj@
5383-1454009502-971159,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,for,fel,xecl,@n,twejar@x,wesj@
56-1449059451-4718,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,vo,vel,xecl,@,twejar@x,wesj@
5655-1454015418-1028420,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
5658-1454018666-1038475,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,for,fel,xecl,n,twejar@x,wesj@
5669-1454405359-1015106,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,for,vel,xecl,@n,twejar@x,wesj@
6225-1454060799-1069954,Groningen_and_Drenthe,hect,ecxtpa,@docpt@r,for,vel,xecl,@n,twejar@x,wicsj@
6259-1454337077-1216535,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,vel,xeclt,@n,twejar@x,wicsj@
6283-1454397777-1236674,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,fel,xecl,@n,twicjacr@x,wesj@
6556-1463069332-1549251,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xecl,@n,twejar@x,wicsj@
6944-1454515602-1283202,Groningen_and_Drenthe,hect,ecxtpar,@docpt@r,fo,vel,xeclt,@n,twicjacr@x,wesj@
7039-1454515362-1280522,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
7055-1458851510-1705260,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
7140-1454516422-1284991,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,for,vel,xecl,@n,twejar@x,wesj@
7168-1460975941-1770477,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
7257-1454964534-1395519,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,for,fel,xeclt,n,twejar@x,wesj@
7275-1454602286-1330036,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
7279-1454608253-1332342,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@
7281-1454611025-1333453,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vor,vel,xeclt,@n,twejar@x,wesj@
7355-1454695620-1356982,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vo,vel,xecl,@n,twejar@x,wesj@
7394-1454843585-1377740,Groningen_and_Drenthe,hect,@xtp@r,acdocptir,vo,fel,xeclt,@n,twejar@x,wicsj@
7436-1455052097-1407233,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
7440-1454890455-1387075,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,for,fel,xecl,@n,twejar@x,wesj@
7470-1455008682-1399298,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,for,fel,xeclt,n,twejar@x,wesj@
7661-1456433450-1522097,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,for,fel,xeclt,n,twejar@x,wesj@
7772-1455992403-1487117,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,fo,fel,xeclt,@n,twicjacr@x,wesj@
778-1455565035-1459438,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
7790-1456076756-1491372,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
7834-1456786115-1542500,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,vel,xeclt,@n,twejar@x,wicsj@
7863-1456486393-1525014,Groningen_and_Drenthe,hect,@xtp@r,acdocptirt,vo,fel,xeclt,@n,twejar@x,wicsj@
7955-1456523571-1530232,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
7961-1456567333-1531203,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,for,fel,xeclt,@n,twejar@x,wesj@
8142-1457729180-1604366,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vor,vel,xeclt,@n,twejar@x,wesj@
8404-1457721072-1600229,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xecl,n,twejar@x,wicsj@
8604-1457951785-1630582,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
8674-1457953057-1634280,Groningen_and_Drenthe,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
8763-1457982229-1652770,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
8834-1458055512-1660160,Groningen_and_Drenthe,hect,ecxtpacr,acdocptirt,fo,fel,xeclt,n,twejar@x,wicsj@
8937-1458987052-1710420,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,vo,vel,xecl,n,twejar@x,wesj@
8963-1458480250-1689293,Groningen_and_Drenthe,hect,ecxtpa,@docpt@r,vor,vel,xecl,@n,twejar@x,wicsj@
9007-1459775262-1707656,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,vel,xecl,@,twejar@x,wesj@
9238-1463082791-1810057,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
9363-1462389334-1799518,Groningen_and_Drenthe,hect,ecxtpar,acdocptirt,for,vel,xeclt,@n,twejar@x,wesj@
9571-1463949728-1845635,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,for,vel,xeclt,@n,twejar@x,wesj@
9623-1463763766-1834106,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
9753-1463939582-1844038,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
9789-1464934664-2216176,Groningen_and_Drenthe,hect,ecxtpa,acdocptirt,vo,vel,xecl,@n,twejar@x,wesj@
9822-1464260322-1959684,Groningen_and_Drenthe,hect,ecxtpa,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@
9908-1464361697-2041701,Groningen_and_Drenthe,hect,ecxtpac,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
9935-1464108561-1855914,Groningen_and_Drenthe,hect,ecxtpacr,acdocptir,fo,vel,xecl,@n,twicjacr@x,wesj@
10015-1465414155-2278341,Limburg,hect,ecxtpa,acdocptir,vo,vel,xecl,@n,twejar@x,wesj@
10029-1466008208-2320678,Limburg,hect,ecxtpar,acdocptir,vor,fel,xeclt,@n,twejar@x,wesj@
10038-1465762744-2307907,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wicsj@
10103-1464126363-1893256,Limburg,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wicsj@
10198-1465816839-2310334,Limburg,hect,ecxtpar,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
10234-1464114064-1877114,Limburg,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
10241-1464790374-2189910,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
10267-1464455410-2097882,Limburg,hect,ecxtpar,acdocptir,fo,fel,xeclt,n,twejar@x,wesj@
10295-1464276245-1971144,Limburg,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
10678-1464206150-1860084,Limburg,hect,ecxtpa,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@
10815-1464159835-1898392,Limburg,hect,ecxtpa,acdocptir,fo,vel,xeclt,@n,twejar@x,wicsj@
10873-1464121688-1887646,Limburg,hect,ecxtpa,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@
10988-1464179070-1911617,Limburg,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
11135-1465204082-2246555,Limburg,hect,ecxtpar,@docpt@r,vo,vel,xecl,@n,twejar@x,wesj@
11196-1477162648-2515693,Limburg,hect,ecxtpar,acdocptirt,for,fel,xeclt,@n,twejar@x,wicsj@
11225-1464119499-1878734,Limburg,hect,ecxtpar,acdocptirt,vo,vel,xecl,@n,twejar@x,wesj@
11326-1464178271-1911136,Limburg,hect,ecxtpac,acdocptirt,vo,vel,xeclt,n,twejar@x,wesj@
11719-1464169877-1904481,Limburg,hect,ecxtpa,acdocptirt,vo,fel,xeclt,@n,twejar@x,wesj@
12170-1464534871-2125194,Limburg,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
12187-1465044027-1907513,Limburg,hect,ecxtpa,acdocptirt,vo,vel,xeclt,n,twejar@x,wesj@
12279-1470566286-2422505,Limburg,hect,ecxtpacr,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
12292-1465134086-2240861,Limburg,hect,ecxtpa,acdocptir,vo,vel,xecl,n,twejar@x,wesj@
12308-1466456380-2350501,Limburg,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
12535-1464187727-1918894,Limburg,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
12960-1464206780-1939272,Limburg,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wicsj@
13066-1464207277-1935124,Limburg,hect,ecxtpar,acdocptirt,vo,fel,xeclt,@n,twejar@x,wesj@
13371-1464427520-2082920,Limburg,hect,ecxtpar,acdocptirt,vo,vel,xeclt,@n,twejar@x,wesj@
13627-1464338937-2013566,Limburg,hect,ecxtpa,acdocptirt,vo,vel,xecl,@n,twejar@x,wicsj@
13969-1464263419-1960930,Limburg,hect,ecxtpa,@docpt@r,for,vel,xeclt,@n,twejar@x,wesj@
14111-1477307092-2516755,Limburg,hect,ecxtpar,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@
14759-1464509961-2114558,Limburg,hect,ecxtpa,acdocptirt,vo,fel,xecl,@n,twejar@x,wesj@
14812-1465501817-2287184,Limburg,hect,ecxtpa,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
14976-1464806020-2194771,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wicsj@
1499-1449158295-84280,Limburg,hect,ecxtpar,acdocptir,vo,vel,xeclt,n,twejar@x,wesj@
15101-1464942846-2217068,Limburg,hect,ecxtpacr,acdocptir,fo,vel,xeclt,@,twicjacr@x,wesj@
15579-1465496928-2286249,Limburg,hect,ecxtpa,acdocptir,vo,vel,xeclt,@n,twejar@x,wicsj@
15588-1465203829-2245447,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
15592-1465470645-2283143,Limburg,hect,ecxtpa,acdocptir,vo,vel,xeclt,@n,twejar@x,wesj@
1568-1450187010-685752,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,@n,twejar@x,wesj@
15779-1464356524-2034311,Limburg,hect,ecxtpar,acdocptirt,fo,vel,xecl,n,twejar@x,wesj@
15781-1465022317-2229698,Limburg,hect,ecxtpar,acdocptirt,vo,vel,xeclt,@n,twejar@x,wesj@
15937-1466106019-2328927,Limburg,hect,ecxtpa,acdocptir,vo,fel,xeclt,@n,twejar@x,wesj@
15955-1464374173-2058684,Limburg,hect,ecxtpar,acdocptir,vor,vel,xeclt,@n,twejar@x,wesj@
15972-1464370985-2054290,Limburg,hect,ecxtpa,acdocptirt,vor,fel,xeclt,@n,twejar@x,wicsj@
16149-1464367893-2051010,Limburg,hect,ecxtpa,acdocptirt,fo,vel,xeclt,@n,twejar@x,wicsj@
16207-1464394201-2076655,Limburg,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wicsj@
16210-1464535688-2125337,Limburg,hect,ecxtpar,acdocptirt,vo,fel,xeclt,n,twejar@x,wesj@
16222-1464604206-2144625,Limburg,hect,ecxtpa,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
16307-1464130104-1891327,Limburg,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
16311-1464117522-1880886,Limburg,hect,ecxtpar,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@
16326-1464605998-2145049,Limburg,hect,ecxtpar,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
16328-1464209798-1943238,Limburg,hect,ecxtpar,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
16495-1464466365-2106333,Limburg,hect,ecxtpac,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@
165-1449072156-17107,Limburg,hect,ecxtpa,acdocptirt,fo,vel,xecl,@n,twejar@x,wicsj@
16718-1465841983-2312223,Limburg,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@
16938-1469363451-2410764,Limburg,hect,@xtpac,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@
17089-1472932385-2481584,Limburg,hect,ecxtpa,acdocptir,vo,vel,xecl,@n,twicjacr@x,wicsj@
17126-1472373223-2446564,Limburg,hect,ecxtpacr,acdocptirt,fo,vel,xeclt,n,twejar@x,wicsj@
1726-1449171604-126242,Limburg,hect,xtp@r,acdocptir,vo,vel,xecl,n,twejar@x,wesj@
