filename,region,pistool,geraapt,toveren,ijs,verkeerd
13066-1464212233-1946916,Limburg,p@stol,gc@rapt,tof@r@n,eis,f@rkert
13969-1464286278-1982062,Limburg,p@st@l,gc@rapt,tocf@r@n,eis,v@rkert
14111-1477311038-2517068,Limburg,pistol,gcrap,tof@r@n,eis,v@kert
15579-1469788843-2416182,Limburg,p@stol,gcrap,tocf@r@,eis,v@rker
15592-1465473827-2283544,Limburg,p@st@l,gc@rapt,tof@r@n,eis,f@ker
15779-1464358803-2037706,Limburg,p@stol,gc@rapt,tof@r@,eis,vker
15781-1465026487-2230316,Limburg,pst@l,x@rapt,tof@r@,eis,v@ker
15972-1464425315-2081305,Limburg,pistocl,gc@rap,tof@r@,eis,f@ker
16149-1464381395-2067527,Limburg,pistocl,gc@rap,tocf@r@,eis,vkert
16207-1464422787-2079485,Limburg,p@stol,x@rap,tocf@r@,eis,f@rker
16210-1464545089-2129863,Limburg,pistocl,gc@rapt,tof@r@n,eis,vker
16222-1464606830-2145296,Limburg,pistol,x@rap,tf@r@,eis,f@rkert
16307-1464165582-1901760,Limburg,pistocl,xrapt,tof@r@n,eis,v@ker
16326-1464610612-2146264,Limburg,p@st@l,x@rap,tof@r@,eis,v@rkert
16495-1464469053-2107730,Limburg,pistol,gc@rap,tof@r@n,eis,fker
16938-1469367347-2411072,Limburg,p@stol,xrapt,tof@r@n,eis,f@rker
17089-1475416138-2500516,Limburg,pistocl,gcrap,tf@r@,eis,vker
17469-1474488357-2492231,Limburg,pst@l,gcrap,tof@r@n,eis,vrker
17777-1482062933-2543531,Limburg,pistol,gc@rap,tocf@r@n,eis,v@rker
1987-1450049604-662968,Limburg,pst@l,gc@rapt,tof@r@n,eis,vker
2339-1449580680-422011,Limburg,p@st@l,gc@rap,tof@r@,eis,v@rker
2477-1450597159-724081,Limburg,pistol,gc@rapt,tof@r@n,eis,vker
2526-1457775974-1608819,Limburg,pistocl,x@rap,tof@r@n,eis,fkert
2720-1449364745-328150,Limburg,pistocl,gc@rap,tof@r@n,eis,f@kert
3178-1449679274-521987,Limburg,p@stol,gcrapt,tocf@r@,eis,vkert
3318-1449512572-444336,Limburg,p@stol,gc@rap,tof@r@,eis,f@rkert
3594-1449684004-541523,Limburg,p@st@l,gc@rap,tof@r@n,eis,v@ker
3677-1449671411-533454,Limburg,pst@l,gcrap,tocf@r@,eis,fker
3733-1455230642-1427254,Limburg,p@stol,gc@rapt,tocf@r@,eis,v@rker
3737-1455193034-1419997,Limburg,pistocl,gc@rap,tof@r@n,eis,f@ker
4502-1450732465-757742,Limburg,pst@l,gc@rapt,tof@r@,eis,f@rkert
4642-1450789449-762767,Limburg,p@st@l,gc@rapt,tof@r@n,eis,f@rker
4722-1451143566-786604,Limburg,p@st@l,gc@rapt,tof@r@n,eis,frkert
4769-1451324994-803302,Limburg,pst@l,gc@rapt,tof@r@,eis,frkert
4777-1451515680-829793,Limburg,pistol,gcrapt,tof@r@,eis,vker
4782-1451328565-806199,Limburg,p@stol,xrapt,tof@r@,eis,frkert
4858-1451780158-842020,Limburg,p@st@l,gc@rap,tof@r@n,eis,v@ker
5194-1453540085-921576,Limburg,pst@l,gc@rapt,tof@r@,eis,frker
5203-1453484100-919938,Limburg,p@st@l,gc@rapt,tof@r@n,eis,v@rker
5418-1454011920-1003509,Limburg,pistocl,x@rapt,tof@r@,eis,v@ker
5476-1454012015-1007132,Limburg,pistol,gc@rap,tf@r@n,eis,vkert
5728-1454060952-1070211,Limburg,p@stol,gc@rapt,tof@r@n,eis,vker
5900-1455446150-1449980,Limburg,pst@l,gc@rapt,tof@r@n,eis,vrker
6178-1454052529-1061366,Limburg,pistocl,x@rap,tocf@r@,eis,vrker
6499-1454441705-1251372,Limburg,pistocl,gc@rap,tocf@r@n,eis,v@ker
6705-1454271980-1199473,Limburg,pistol,gc@rap,tof@r@,eis,vkert
6969-1455101861-1410462,Limburg,pistocl,xrap,tof@r@n,eis,vkert
6971-1454600788-1329170,Limburg,pistol,gc@rap,tof@r@n,eis,v@ker
7017-1457956593-1641475,Limburg,p@st@l,gc@rapt,tof@r@,eis,frkert
7183-1455616352-1343851,Limburg,p@st@l,gc@rap,tof@r@,eis,v@ker
7202-1454614158-1335082,Limburg,p@stol,gc@rap,tocf@r@n,eis,f@rker
7358-1454701933-1360259,Limburg,p@st@l,gc@rapt,tocf@r@n,eis,vkert
7538-1455198929-1421436,Limburg,p@st@l,gc@rapt,tof@r@,eis,vker
7543-1455207410-1422984,Limburg,pistol,gc@rapt,tof@r@n,eis,f@rkert
8132-1457631803-1572913,Limburg,pst@l,x@rap,tf@r@,eis,f@rker
8289-1457726088-1602950,Limburg,p@st@l,gc@rap,tof@r@,eis,v@ker
8295-1457977215-1605512,Limburg,pst@l,gcrapt,tof@r@n,eis,f@rker
8392-1457725167-1602499,Limburg,p@st@l,gc@rap,tof@r@n,eis,f@rker
8595-1457962814-1646428,Limburg,pistol,gcrap,tof@r@n,eis,frkert
8668-1458673418-1698323,Limburg,pst@l,x@rap,tf@r@,eis,v@kert
8708-1457953711-1636715,Limburg,p@st@l,gc@rapt,tof@r@,eis,v@rkert
8788-1457957453-1642682,Limburg,pistocl,gc@rapt,tof@r@n,eis,v@kert
9006-1460799488-1765845,Limburg,pistocl,gc@rapt,tof@r@n,eis,v@ker
9096-1459554059-1725863,Limburg,pistol,xrapt,tof@r@n,eis,vker
9109-1459941713-1744627,Limburg,pst@l,gc@rapt,tof@r@n,eis,vkert
9111-1460037295-1748591,Limburg,p@stol,x@rapt,tof@r@,eis,v@rkert
9114-1460037035-1745370,Limburg,p@stol,gc@rapt,tof@r@,eis,vker
9122-1459856216-1733019,Limburg,p@st@l,gcrapt,tof@r@n,eis,v@rkert
9128-1459887909-1741555,Limburg,p@st@l,gcrapt,tof@r@,eis,f@rker
9131-1459860576-1735059,Limburg,pistocl,x@rap,tof@r@n,eis,fkert
9136-1459859493-1735182,Limburg,pistocl,gc@rap,tof@r@n,eis,vrker
9140-1459861125-1735648,Limburg,p@stol,xrapt,tof@r@,eis,vkert
9145-1459870729-1737245,Limburg,p@st@l,x@rapt,tocf@r@n,eis,frkert
9157-1459874619-1739060,Limburg,p@stol,gc@rap,tof@r@n,eis,vker
9161-1459956207-1745701,Limburg,p@stol,gc@rap,tof@r@,eis,vkert
9164-1459878973-1740173,Limburg,p@st@l,x@rapt,tof@r@,eis,v@rker
9175-1460205794-1753547,Limburg,p@stol,gc@rapt,tof@r@,eis,f@rkert
9179-1460139177-1752005,Limburg,p@stol,gcrap,tocf@r@,eis,vrkert
9181-1460142692-1752400,Limburg,p@st@l,gc@rapt,tof@r@n,eis,frkert
9240-1460554944-1761426,Limburg,pistol,xrapt,tof@r@,eis,vker
9531-1463931363-1843152,Limburg,p@st@l,gc@rapt,tof@r@n,eis,f@rker
10442-1465980887-2317891,Oost_Overijsel-Gelderland,pistocl,gc@rapt,tocf@r@n,eis,f@rkert
10609-1466105513-1900417,Oost_Overijsel-Gelderland,p@st@l,gc@rapt,tof@r@n,eis,frkert
10895-1464280107-1974104,Oost_Overijsel-Gelderland,pst@l,x@rap,tocf@r@,eis,v@kert
11791-1466163817-2331629,Oost_Overijsel-Gelderland,p@st@l,x@rap,tof@r@,eis,f@rker
12145-1466104433-2328622,Oost_Overijsel-Gelderland,p@stol,xrapt,tocf@r@,eis,vker
13104-1464304387-2005968,Oost_Overijsel-Gelderland,pst@l,gc@rapt,tof@r@n,eis,f@ker
13285-1465071757-2236043,Oost_Overijsel-Gelderland,p@stol,x@rapt,tof@r@,eis,vker
13452-1464612496-2147321,Oost_Overijsel-Gelderland,pst@l,x@rap,tof@r@,eis,v@rkert
13550-1465929020-2316401,Oost_Overijsel-Gelderland,p@stol,gc@rapt,tocf@r@,eis,f@kert
13884-1465542785-2289922,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tocf@r@n,eis,v@kert
14656-1464341738-2016802,Oost_Overijsel-Gelderland,p@st@l,gcrapt,tof@r@n,eis,frkert
14949-1464440725-2089992,Oost_Overijsel-Gelderland,p@stol,xrapt,tof@r@n,eis,f@rker
14966-1464385648-2072443,Oost_Overijsel-Gelderland,pistol,x@rap,tf@r@,eis,v@kert
15456-1464345945-2021969,Oost_Overijsel-Gelderland,pst@l,x@rapt,tocf@r@,eis,f@ker
15474-1464525500-2121526,Oost_Overijsel-Gelderland,pistol,gcrap,tof@r@n,eis,frker
15629-1464801943-2192867,Oost_Overijsel-Gelderland,p@st@l,xrapt,tof@r@n,eis,vrkert
15664-1464357470-2036828,Oost_Overijsel-Gelderland,p@st@l,gcrapt,tof@r@n,eis,v@rkert
16057-1464364908-2045677,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tocf@r@,eis,f@kert
16270-1464091864-1858788,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tof@r@n,eis,v@rker
16497-1464684317-2167885,Oost_Overijsel-Gelderland,p@stol,gcrap,tocf@r@,eis,v@rker
16501-1464623712-2152008,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tof@r@n,eis,v@kert
16505-1464548593-2128909,Oost_Overijsel-Gelderland,p@stol,x@rapt,tocf@r@n,eis,v@kert
1654-1449521883-456556,Oost_Overijsel-Gelderland,pst@l,gc@rapt,tocf@r@n,eis,v@ker
17518-1476864244-2509327,Oost_Overijsel-Gelderland,pst@l,x@rap,tocf@r@n,eis,f@rker
17700-1481234634-2533741,Oost_Overijsel-Gelderland,pistocl,x@rapt,tf@r@,eis,v@ker
2486-1449328957-289067,Oost_Overijsel-Gelderland,p@stol,gc@rapt,tof@r@n,eis,frker
2625-1452286814-872244,Oost_Overijsel-Gelderland,p@stol,gc@rap,tocf@r@,eis,f@rkert
3060-1449666128-530911,Oost_Overijsel-Gelderland,pistocl,gcrapt,tof@r@n,eis,f@rkert
309-1449235552-178080,Oost_Overijsel-Gelderland,pst@l,x@rapt,tocf@r@,eis,f@rkert
3377-1449689322-547517,Oost_Overijsel-Gelderland,pistocl,gc@rapt,tof@r@,eis,vker
3399-1449992105-549459,Oost_Overijsel-Gelderland,p@stol,x@rap,tof@r@,eis,vker
3583-1449677688-536711,Oost_Overijsel-Gelderland,p@st@l,gc@rapt,tocf@r@,eis,fker
4245-1450075704-665580,Oost_Overijsel-Gelderland,p@st@l,gc@rap,tocf@r@,eis,f@rkert
4373-1450275829-698437,Oost_Overijsel-Gelderland,pst@l,xrapt,tof@r@n,eis,f@kert
4424-1458130995-1667445,Oost_Overijsel-Gelderland,p@st@l,gc@rap,tocf@r@,eis,v@rkert
4444-1450602056-734828,Oost_Overijsel-Gelderland,p@st@l,x@rap,tfr,eis,f@ker
4674-1450969373-774671,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tof@r@n,eis,fkert
4937-1451770063-840653,Oost_Overijsel-Gelderland,pistocl,gc@rap,tof@r@n,eis,vker
5559-1454011883-997359,Oost_Overijsel-Gelderland,pistol,xrap,tfr,eis,v@ker
5598-1454102883-1124554,Oost_Overijsel-Gelderland,pistol,gcrap,tf@r@,eis,frker
5857-1457613002-1571225,Oost_Overijsel-Gelderland,pst@l,x@rapt,tof@r@n,eis,f@rkert
6030-1454018378-1037113,Oost_Overijsel-Gelderland,pst@l,x@rapt,tof@r@n,eis,fker
6077-1460576870-1761668,Oost_Overijsel-Gelderland,p@stol,x@rap,tfr,eis,f@rker
6308-1454423000-1244383,Oost_Overijsel-Gelderland,pst@l,gc@rapt,tof@r@,eis,frkert
6545-1454276237-1202656,Oost_Overijsel-Gelderland,p@st@l,gcrapt,tof@r@,eis,vker
6796-1454362259-1232504,Oost_Overijsel-Gelderland,pistocl,xrap,tocf@r@n,eis,v@ker
6930-1456498189-1527786,Oost_Overijsel-Gelderland,pistocl,x@rap,tocf@r@n,eis,f@rker
6968-1454525159-1301585,Oost_Overijsel-Gelderland,pst@l,x@rapt,tf@r@,eis,v@rker
828-1449173705-133124,Oost_Overijsel-Gelderland,p@st@l,x@rapt,tocf@r@,eis,vker
8391-1462472060-1801568,Oost_Overijsel-Gelderland,pistol,x@rap,tof@r@n,eis,v@rker
8641-1458177694-1671252,Oost_Overijsel-Gelderland,p@st@l,xrapt,tocf@r@n,eis,v@kert
8804-1457968402-1649362,Oost_Overijsel-Gelderland,pst@l,gc@rapt,tocf@r@,eis,frker
9220-1464561213-2139504,Oost_Overijsel-Gelderland,pistol,gc@rapt,tof@r@n,eis,f@rkert
9415-1462988644-1806717,Oost_Overijsel-Gelderland,p@stol,gc@rapt,tof@r@,eis,vker
9486-1463416078-1821978,Oost_Overijsel-Gelderland,p@stol,gc@rapt,tof@r@,eis,v@ker
9910-1464205692-1937624,Oost_Overijsel-Gelderland,pst@l,xrapt,tof@r@,eis,v@rker
