filename,region,Jeannette ,lacht,nadat,ze,door,een,onbekende,persoon,is,gekust
14112-1465383306-2274521,Groningen_and_Drenthe,z@nect,lacxt,n@dact,s,dor,n,ocn@kecnd@,pson,ics,gc@kus
14576-1464468621-2107941,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,pson,ics,x@kust
15260-1464509452-2114115,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,x@kust
15527-1466444047-2349186,Groningen_and_Drenthe,sc@nect,lacx,nadact,s,dor,@,ocn@kecnd@,p@son,ics,gc@kust
15537-1466621254-2363299,Groningen_and_Drenthe,sc@nect,lacxt,nadact,z@,do,n,ocnb@kecnd@,p@son,ics,x@kust
16209-1464515554-2117515,Groningen_and_Drenthe,sc@nect,lacx,n@dact,z,do,n,ocnb@kecnd@,p@son,ics,gc@kust
16245-1465250202-2264311,Groningen_and_Drenthe,z@nect,lacxt,nadact,z,dor,n,ocnb@kecnd@,p@son,ics,gc@kust
16266-1464423948-2080317,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
16334-1464156888-1897346,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,dor,@,ocn@kecnd@,p@son,ics,x@kust
16451-1465258527-2112467,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kus
16681-1465849665-2312715,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@n,ocnb@kecnd@,prson,ics,gc@kust
1669-1449217965-174402,Groningen_and_Drenthe,z@nect,lacxt,n@dact,s,do,@,ocnb@kecnd@,p@son,ics,gc@kust
16704-1465675332-2301368,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,x@kust
16771-1466357838-2342844,Groningen_and_Drenthe,z@nect,lacx,nadact,z,do,@n,ocnb@kecnd@,p@son,ics,x@kust
1687-1449168883-118393,Groningen_and_Drenthe,sc@nect,lacx,nadact,s,do,n,ocnb@kecnd@,prson,ics,gc@kus
1707-1449561816-468310,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,p@son,ics,x@kus
17145-1472373218-2444218,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kust
172-1449073778-23514,Groningen_and_Drenthe,sc@nect,lacx,n@dact,s@,do,@,ocn@kecnd@,p@rson,ics,gc@kus
17227-1472723777-2453842,Groningen_and_Drenthe,z@nect,lacx,nadact,s,do,@,ocnb@kecnd@,prson,ics,x@kust
17301-1472375539-2457030,Groningen_and_Drenthe,z@nect,lacx,n@dact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kus
17402-1473101037-2483174,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,p@son,ics,gc@kust
1807-1449231175-190862,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kus
203-1449075147-25248,Groningen_and_Drenthe,z@nect,lacxt,n@dact,z,dor,n,ocn@kecnd@,prson,ics,x@kust
2108-1450886287-769637,Groningen_and_Drenthe,sc@nect,lacxt,nadact,z,do,@,ocn@kecnd@,prson,ics,gc@kus
214-1449569356-84080,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@n,ocnb@kecnd@,prson,ics,gc@kust
2349-1449317349-274614,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,s,do,n,ocnb@kecnd@,prson,ics,x@kust
2381-1450103823-670635,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kust
2409-1449402796-349231,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,do,n,ocn@kecnd@,p@son,ics,gc@kust
243-1449320452-211337,Groningen_and_Drenthe,z@nect,lacx,nadact,z@,dor,n,ocn@kecnd@,p@son,ics,gc@kust
2499-1449341406-306188,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,s,do,n,ocnb@kecnd@,p@son,ics,x@kus
2825-1450544973-725565,Groningen_and_Drenthe,z@nect,lacx,n@dact,z@,dor,n,ocn@kecnd@,p@son,ics,gc@kus
2963-1449439498-402912,Groningen_and_Drenthe,sc@nect,lacx,nadact,z@,dor,n,ocnb@kecnd@,p@son,ics,gc@kust
2964-1468313926-2402657,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@n,ocn@kecnd@,prson,ics,x@kust
298-1449078990-32083,Groningen_and_Drenthe,z@nect,lacx,nadact,z,dor,n,ocnb@kecnd@,prson,ics,gc@kust
299-1449078189-30695,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,prson,ics,gc@kust
3041-1449411782-364773,Groningen_and_Drenthe,z@nect,lacx,nadact,z@,dor,@,ocn@kecnd@,p@son,ics,x@kust
3054-1449434627-395233,Groningen_and_Drenthe,sc@nect,lacx,n@dact,s@,do,@n,ocnb@kecnd@,p@rson,ics,gc@kus
313-1457822089-1615187,Groningen_and_Drenthe,z@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust
318-1449078182-31761,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kus
3282-1449502365-431899,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,do,@n,ocn@kecnd@,p@rson,ics,gc@kust
333-1449176519-139638,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,x@kust
3354-1449517586-449704,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,do,n,ocnb@kecnd@,p@rson,ics,x@kust
3385-1450451698-716429,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s,dor,@,ocn@kecnd@,pson,ics,gc@kust
3419-1449672885-518557,Groningen_and_Drenthe,z@nect,lacx,nadact,z@,do,n,ocnb@kecnd@,pson,ics,gc@kust
3526-1452208970-866410,Groningen_and_Drenthe,sc@nect,lacxt,nacdact,z,do,n,ocnb@kecnd@,prson,ics,x@kust
3966-1449926020-608163,Groningen_and_Drenthe,z@nect,lacx,nadact,z,dor,@,ocn@kecnd@,p@son,ics,gc@kust
3984-1450771934-760361,Groningen_and_Drenthe,sc@nect,lacx,ndact,s,do,@,ocnb@kecnd@,pson,ics,x@kus
4111-1449999461-632755,Groningen_and_Drenthe,z@nect,lacx,nacdact,s,do,n,ocnb@kecnd@,p@rson,ics,gc@kust
420-1449480525-417124,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,n,ocn@kecnd@,p@son,ics,gc@kust
4357-1450262021-695223,Groningen_and_Drenthe,z@nect,lacx,nadact,z@,dor,@,ocn@kecnd@,p@rson,ics,gc@kus
4378-1450346050-706093,Groningen_and_Drenthe,z@nect,lacx,nadact,s,do,n,ocn@kecnd@,p@son,ics,x@kust
4406-1451942923-852611,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s,do,n,ocnb@kecnd@,p@son,ics,x@kus
4441-1450692060-750315,Groningen_and_Drenthe,z@nect,lacxt,nadact,s,do,n,ocnb@kecnd@,p@son,ics,x@kust
4616-1450703112-752916,Groningen_and_Drenthe,z@nect,lacx,nadact,s,dor,@,ocn@kecnd@,prson,ics,x@kust
4725-1451142965-786503,Groningen_and_Drenthe,sc@nect,lacx,nadact,z@,dor,@,ocnb@kecnd@,prson,ics,gc@kust
4737-1451217787-791687,Groningen_and_Drenthe,sc@nect,lacx,nadact,s,do,@n,ocn@kecnd@,prson,ics,gc@kust
4766-1451398370-817269,Groningen_and_Drenthe,z@nect,lacxt,nadact,s,dor,@,ocn@kecnd@,prson,ics,gc@kust
4895-1451511870-828756,Groningen_and_Drenthe,sc@nect,lacx,nadact,z@,dor,@,ocnb@kecnd@,prson,ics,gc@kus
4923-1453397040-915432,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,@n,ocnb@kecnd@,prson,ics,gc@kust
5153-1453228107-908929,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s@,do,@n,ocn@kecnd@,p@rson,ics,x@kus
5383-1454010274-984702,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,n,ocn@kecnd@,prson,ics,x@kust
56-1449068083-4739,Groningen_and_Drenthe,z@nect,lacx,nadact,z,dor,@,ocnb@kecnd@,p@son,ics,x@kus
5658-1454019977-1042536,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,n,ocn@kecnd@,pson,ics,gc@kust
5669-1454569787-1318997,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,z,do,n,ocnb@kecnd@,p@son,ics,gc@kus
6225-1454061457-1070932,Groningen_and_Drenthe,z@nect,lacxt,nadact,z@,dor,n,ocn@kecnd@,prson,ics,x@kust
6259-1454339072-1220172,Groningen_and_Drenthe,sc@nect,lacx,ndact,z@,do,@n,ocnb@kecnd@,pson,ics,gc@kust
6556-1463069497-1809457,Groningen_and_Drenthe,sc@nect,lacxt,ndact,z,do,@,ocnb@kecnd@,prson,ics,gc@kust
6944-1454519146-1294523,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,z,do,n,ocnb@kecnd@,prson,ics,gc@kust
7039-1454516947-1285558,Groningen_and_Drenthe,z@nect,lacxt,nadact,s,dor,n,ocnb@kecnd@,prson,ics,x@kus
7055-1458852073-1705387,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,gc@kust
7140-1454517465-1289657,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s,dor,n,ocnb@kecnd@,p@rson,ics,x@kust
7168-1460976335-1770641,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust
7275-1454889886-1386983,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,prson,ics,x@kus
7355-1454696177-1357370,Groningen_and_Drenthe,z@nect,lacx,nacdact,z,dor,n,ocnb@kecnd@,prson,ics,x@kust
7436-1455052917-1407414,Groningen_and_Drenthe,z@nect,lacx,nadact,s,dor,@,ocn@kecnd@,p@son,ics,gc@kust
7440-1454901393-1387181,Groningen_and_Drenthe,sc@nect,lacx,ndact,s,do,n,ocnb@kecnd@,prson,ics,gc@kus
7470-1455009678-1399581,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
778-1455565703-1459546,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kust
7790-1456078174-1491556,Groningen_and_Drenthe,z@nect,lacxt,n@dact,s@,do,n,ocnb@kecnd@,prson,ics,x@kust
7834-1456830319-1542771,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,n,ocn@kecnd@,prson,ics,x@kus
7863-1457790263-1611616,Groningen_and_Drenthe,z@nect,lacx,nacdact,s,do,n,ocnb@kecnd@,prson,ics,x@kus
7955-1463164647-1812765,Groningen_and_Drenthe,sc@nect,lacx,nadact,z,dor,n,ocnb@kecnd@,pson,ics,x@kust
7961-1456567943-1531420,Groningen_and_Drenthe,z@nect,lacx,n@dact,z@,dor,n,ocn@kecnd@,p@son,ics,x@kust
8404-1457723306-1601219,Groningen_and_Drenthe,sc@nect,lacxt,nadact,z@,dor,@,ocn@kecnd@,prson,ics,gc@kust
8674-1457953372-1635911,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
8763-1458123392-1666196,Groningen_and_Drenthe,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,p@son,ics,gc@kust
8834-1458056554-1660607,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,pson,ics,x@kust
8937-1458987579-1710456,Groningen_and_Drenthe,z@nect,lacx,nadact,s,dor,@,ocnb@kecnd@,p@son,ics,gc@kus
8963-1458481340-1689355,Groningen_and_Drenthe,z@nect,lacx,nadact,s@,do,@,ocnb@kecnd@,prson,ics,gc@kus
9007-1467871713-1757397,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,p@rson,ics,x@kust
9363-1462390048-1799670,Groningen_and_Drenthe,z@nect,lacxt,nadact,s@,dor,@n,ocn@kecnd@,p@son,ics,x@kust
9571-1463950313-1845703,Groningen_and_Drenthe,z@nect,lacx,nadact,z,do,n,ocnb@kecnd@,p@rson,ics,x@kust
9623-1463764307-1834253,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,p@son,ics,x@kust
9753-1463939919-1844169,Groningen_and_Drenthe,sc@nect,lacxt,nadact,z@,do,@n,ocnb@kecnd@,prson,ics,gc@kust
9789-1464979953-2216376,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s,dor,@,ocnb@kecnd@,pson,ics,gc@kust
9822-1464260544-1960084,Groningen_and_Drenthe,sc@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,gc@kust
9935-1464217418-1951174,Groningen_and_Drenthe,sc@nect,lacxt,n@dact,s,do,n,ocnb@kecnd@,p@rson,ics,x@kus
10015-1465414679-2278559,Limburg,z@nect,lacx,nacdact,s@,do,n,ocnb@kecnd@,pson,ics,x@kus
10029-1466013489-2321338,Limburg,z@nect,lacx,n@dact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
10038-1465763259-2308058,Limburg,z@nect,lacx,nadact,s@,dor,@n,ocnb@kecnd@,p@son,ics,x@kust
10103-1464127681-1894308,Limburg,sc@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,p@son,ics,x@kust
10241-1464791214-2189984,Limburg,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kust
10267-1464459459-2100672,Limburg,sc@nect,lacx,nadact,s@,dor,n,ocnb@kecnd@,pson,ics,x@kust
10295-1464277086-1971878,Limburg,sc@nect,lacx,nadact,z,do,@,ocnb@kecnd@,p@rson,ics,x@kust
10678-1464206710-1940029,Limburg,sc@nect,lacx,nadact,s@,do,n,ocnb@kecnd@,prson,ics,x@kus
10873-1464122292-1888636,Limburg,z@nect,lacx,n@dact,s,do,@n,ocn@kecnd@,prson,ics,gc@kust
10988-1464179991-1912451,Limburg,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kust
11135-1465204598-2247702,Limburg,sc@nect,lacx,ndact,s,do,@,ocn@kecnd@,pson,ics,x@kus
11225-1464119581-1884582,Limburg,sc@nect,lacx,nadact,z@,do,n,ocn@kecnd@,pson,ics,x@kus
11719-1464178399-1908303,Limburg,sc@nect,lacx,nadact,s,do,@,ocn@kecnd@,prson,ics,gc@kus
12292-1465233648-2259904,Limburg,z@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,pson,ics,x@kust
12535-1464197438-1927736,Limburg,sc@nect,lacx,nadact,s,do,@,ocn@kecnd@,p@son,ics,gc@kus
12960-1464275086-1944302,Limburg,sc@nect,lacxt,n@dact,s@,do,n,ocnb@kecnd@,pson,ics,gc@kust
13066-1464208142-1941525,Limburg,sc@nect,lacx,nacdact,s@,dor,@,ocnb@kecnd@,prson,ics,gc@kust
13371-1464429069-2083618,Limburg,z@nect,lacxt,nadact,z@,do,@,ocnb@kecnd@,prson,ics,gc@kust
13627-1464339836-2014546,Limburg,sc@nect,lacxt,nacdact,z,do,@,ocnb@kecnd@,prson,ics,x@kust
13969-1464263721-1961309,Limburg,sc@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,pson,ics,gc@kust
14111-1477307638-2516832,Limburg,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kust
1499-1449398996-253198,Limburg,z@nect,lacxt,nadact,z,dor,@,ocn@kecnd@,pson,ics,gc@kust
15101-1464944016-2217196,Limburg,z@nect,lacxt,nacdact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
15579-1469787451-2416014,Limburg,sc@nect,lacx,nadact,s,do,n,ocnb@kecnd@,p@rson,ics,gc@kust
15588-1465484963-2284869,Limburg,sc@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,gc@kust
15592-1465471147-2283234,Limburg,sc@nect,lacx,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,gc@kust
15779-1464356942-2035682,Limburg,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,gc@kust
15781-1465023160-2229852,Limburg,sc@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kust
15937-1466106942-2329145,Limburg,sc@nect,lacx,n@dact,z@,do,@n,ocnb@kecnd@,p@rson,ics,gc@kust
15955-1464544303-2129082,Limburg,z@nect,lacx,n@dact,z,do,@,ocn@kecnd@,prson,ics,gc@kus
15972-1464424265-2080165,Limburg,sc@nect,lacx,nadact,s,do,@,ocn@kecnd@,prson,ics,gc@kust
16149-1464374308-2059381,Limburg,z@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,p@son,ics,gc@kust
16207-1464420760-2078592,Limburg,z@nect,lacx,nadact,s,dor,n,ocn@kecnd@,prson,ics,gc@kus
16210-1464536232-2125488,Limburg,z@nect,lacx,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
16222-1464605402-2144795,Limburg,z@nect,lacx,nadact,s,dor,@,ocn@kecnd@,prson,ics,gc@kus
16307-1464164534-1896103,Limburg,sc@nect,lacxt,ndact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
16326-1464607942-2145512,Limburg,z@nect,lacxt,nadact,z@,do,@n,ocnb@kecnd@,pson,ics,x@kust
16328-1464210816-1944673,Limburg,z@nect,lacx,n@dact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
16495-1464467199-2106778,Limburg,z@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,p@rson,ics,gc@kust
165-1449076821-28408,Limburg,sc@nect,lacxt,nacdact,s,dor,n,ocnb@kecnd@,prson,ics,x@kust
16938-1469365952-2410877,Limburg,z@nect,lacxt,nadact,z,do,@n,ocnb@kecnd@,prson,ics,gc@kust
17089-1473026239-2482424,Limburg,z@nect,lacx,ndact,z@,do,n,ocnb@kecnd@,pson,ics,x@kust
17126-1472377022-2454632,Limburg,z@nect,lacxt,nadact,s,do,n,ocnb@kecnd@,prson,ics,gc@kust
1726-1449174962-131622,Limburg,sc@nect,lacx,nadact,z@,do,@,ocnb@kecnd@,prson,ics,gc@kust
17469-1474485974-2492046,Limburg,sc@nect,lacxt,nadact,z@,dor,@,ocnb@kecnd@,prson,ics,x@kust
17777-1482060722-2543349,Limburg,z@nect,lacxt,nacdact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
1987-1449646494-521886,Limburg,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,prson,ics,gc@kust
2238-1449334896-298008,Limburg,sc@nect,lacx,nadact,s@,do,n,ocnb@kecnd@,prson,ics,x@kust
2339-1449317886-273291,Limburg,z@nect,lacx,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
2343-1449930679-611678,Limburg,z@nect,lacx,nadact,s,do,@n,ocnb@kecnd@,prson,ics,gc@kus
2477-1449569200-446904,Limburg,z@nect,lacxt,nadact,z,do,@n,ocnb@kecnd@,prson,ics,gc@kust
2526-1449824213-585652,Limburg,sc@nect,lacx,nadact,z@,do,n,ocnb@kecnd@,prson,ics,x@kust
2720-1449361156-326329,Limburg,sc@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust
2782-1451341961-811526,Limburg,sc@nect,lacxt,nadact,s,do,n,ocnb@kecnd@,pson,ics,gc@kust
2981-1449946531-420188,Limburg,z@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kust
3047-1449611100-512893,Limburg,z@nect,lacx,nadact,z@,dor,@,ocn@kecnd@,prson,ics,gc@kust
3151-1449569071-459104,Limburg,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,prson,ics,gc@kust
3178-1449509770-411485,Limburg,sc@nect,lacxt,nadact,s,do,@,ocnb@kecnd@,prson,ics,gc@kust
3293-1449602158-500516,Limburg,sc@nect,lacxt,nadact,z,do,@n,ocn@kecnd@,prson,ics,x@kust
3318-1449510785-441353,Limburg,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kust
3333-1449775997-576697,Limburg,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,prson,ics,gc@kus
3594-1449678068-536438,Limburg,z@nect,lacx,n@dact,z,do,@,ocnb@kecnd@,p@rson,ics,gc@kus
3677-1449656912-525415,Limburg,z@nect,lacx,nacdact,s@,do,@n,ocnb@kecnd@,p@rson,ics,gc@kus
3733-1449691599-550122,Limburg,sc@nect,lacx,nadact,s@,dor,@n,ocnb@kecnd@,p@son,ics,x@kus
3737-1454579425-1321426,Limburg,sc@nect,lacx,nadact,s@,do,n,ocn@kecnd@,prson,ics,gc@kust
4502-1450642044-746529,Limburg,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,x@kus
4547-1450967170-775973,Limburg,z@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,pson,ics,x@kus
4642-1450784016-761862,Limburg,sc@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,prson,ics,gc@kust
4672-1451681887-836074,Limburg,sc@nect,lacxt,nadact,s,dor,@,ocnb@kecnd@,prson,ics,gc@kust
4722-1451133697-785536,Limburg,z@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,p@son,ics,x@kust
4769-1451322269-802299,Limburg,sc@nect,lacx,n@dact,s,do,@n,ocnb@kecnd@,prson,ics,x@kus
4772-1451328360-805895,Limburg,sc@nect,lacxt,nadact,s,do,@,ocnb@kecnd@,prson,ics,gc@kust
4777-1451480159-825740,Limburg,sc@nect,lacxt,nadact,z,dor,@,ocnb@kecnd@,p@son,ics,gc@kust
4782-1451325804-804280,Limburg,z@nect,lacxt,nadact,s,do,n,ocnb@kecnd@,prson,ics,x@kust
4830-1452091735-860652,Limburg,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,p@rson,ics,gc@kust
4851-1451499424-827317,Limburg,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kust
4858-1451522529-830333,Limburg,sc@nect,lacx,nadact,z@,do,n,ocnb@kecnd@,prson,ics,gc@kus
5058-1454083364-1102007,Limburg,sc@nect,lacx,n@dact,z,dor,n,ocnb@kecnd@,p@rson,ics,x@kust
5194-1453535358-920992,Limburg,z@nect,lacxt,nadact,s,do,n,ocn@kecnd@,p@rson,ics,gc@kust
5203-1453479759-919336,Limburg,z@nect,lacxt,n@dact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kust
5418-1454009967-980545,Limburg,sc@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,p@son,ics,gc@kust
5476-1454010546-989007,Limburg,sc@nect,lacxt,nadact,z,do,@n,ocnb@kecnd@,prson,ics,x@kust
5486-1454073359-1089850,Limburg,z@nect,lacxt,nacdact,z,do,n,ocnb@kecnd@,prson,ics,gc@kust
5728-1454059511-1068730,Limburg,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kust
5900-1455444270-1449391,Limburg,sc@nect,lacx,n@dact,s@,dor,@,ocnb@kecnd@,p@son,ics,x@kust
5981-1458247160-1676722,Limburg,sc@nect,lacxt,nadact,z,dor,@n,ocnb@kecnd@,prson,ics,gc@kust
6178-1454051116-1060119,Limburg,sc@nect,lacxt,nadact,s,dor,@,ocnb@kecnd@,prson,ics,x@kus
6187-1454964964-1395625,Limburg,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,prson,ics,gc@kust
6352-1454239274-1102971,Limburg,sc@nect,lacxt,ndact,s,do,@,ocnb@kecnd@,p@son,ics,x@kust
6420-1454098084-1119521,Limburg,z@nect,lacx,nacdact,s,dor,@,ocnb@kecnd@,p@rson,ics,gc@kus
6499-1454439939-1249478,Limburg,z@nect,lacx,nadact,s@,do,n,ocnb@kecnd@,p@rson,ics,x@kust
6562-1454178917-1156238,Limburg,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,prson,ics,gc@kust
6676-1461438586-1780857,Limburg,sc@nect,lacxt,nadact,s,do,n,ocnb@kecnd@,p@son,ics,gc@kus
6705-1454270590-1198196,Limburg,sc@nect,lacx,nadact,s@,do,@n,ocnb@kecnd@,pson,ics,x@kust
6875-1454451666-1256234,Limburg,sc@nect,lacxt,nadact,s@,do,@,ocn@kecnd@,prson,ics,gc@kus
6969-1454517085-1286719,Limburg,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,prson,ics,x@kust
