filename,region,natuurlijk,ga,je,van,hard,werken,heus,niet,dood,maar,in,andere,opzichten,is,de,prijs,soms,hoger,dan,je,dacht
3054-1449510709-440178,Groningen_and_Drenthe,n@tyrl@k,xa,j@,facn,hacr,wecrkn,heus,ni,dot,mar,icn,acnd@r@,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
3282-1449506228-435809,Groningen_and_Drenthe,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j@,dacx
333-1449267194-241770,Groningen_and_Drenthe,ntyrl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
3385-1450453133-717135,Groningen_and_Drenthe,ntyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx
3526-1454538695-1315070,Groningen_and_Drenthe,nactyl@k,xa,j,facn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@r,dacn,j,dacxt
3966-1452613171-888386,Groningen_and_Drenthe,n@tyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacx
3984-1450773032-760593,Groningen_and_Drenthe,ntyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hox,dacn,j@,dacxt
4111-1450005664-637167,Groningen_and_Drenthe,n@tyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,icn,acnd@r,ocpsicxt@n,ics,d,preis,socms,hogc@,dacn,j@,dacxt
4357-1450305843-704544,Groningen_and_Drenthe,n@tyr@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr@,ocpsicxt@n,ics,d@,preis,socms,hox,dacn,j,dacxt
4406-1453647134-926444,Groningen_and_Drenthe,ntyrl@k,xa,j,facn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d,preis,socms,hogc,dacn,j,dacxt
4616-1450898006-770687,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
4895-1451575750-832226,Groningen_and_Drenthe,n@dyrl@k,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
4923-1455303671-1435749,Groningen_and_Drenthe,n@ty@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
5153-1457517219-1567293,Groningen_and_Drenthe,n@dyr@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc,dacn,j@,dacx
5383-1454063067-1073531,Groningen_and_Drenthe,n@tyrl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
5669-1454600179-1328914,Groningen_and_Drenthe,ntyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d,preis,socms,hogc@,dacn,j,dacx
6225-1454063598-1074070,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
6259-1455286272-1430872,Groningen_and_Drenthe,n@tyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j@,dacxt
7039-1454587685-1323536,Groningen_and_Drenthe,natyr@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d,preis,socms,hogcr,dacn,j,dacxt
7140-1454522342-1298412,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacx
7275-1456401182-1518807,Groningen_and_Drenthe,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacxt
7470-1455108346-1402851,Groningen_and_Drenthe,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j@,dacx
7790-1456079891-1492045,Groningen_and_Drenthe,natyk,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr@,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j@,dacxt
7955-1463166599-1813012,Groningen_and_Drenthe,n@dy@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
7961-1456580437-1532444,Groningen_and_Drenthe,natyk,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8404-1458302077-1677899,Groningen_and_Drenthe,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
8674-1457955211-1638926,Groningen_and_Drenthe,nactyrk,xa,j,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
8763-1458206497-1672040,Groningen_and_Drenthe,tyk,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacx
8834-1458058246-1660967,Groningen_and_Drenthe,n@ty@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
8937-1460648342-1762453,Groningen_and_Drenthe,n@tyr@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacx
8963-1458485743-1689680,Groningen_and_Drenthe,tyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@n,ics,d,preis,socms,hogc,dacn,j@,dacx
9363-1462391938-1799835,Groningen_and_Drenthe,natyl@k,xa,j,vacn,hacrt,wecrk@n,heus,ni,dot,mar,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
9789-1465021548-2229466,Groningen_and_Drenthe,n@tyl@k,xa,j,facn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
9935-1464219190-1952042,Groningen_and_Drenthe,tyk,xa,j@,facn,hacr,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j@,dacxt
10015-1465415681-2278883,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
10038-1465798152-2309628,Limburg,natyrk,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
10241-1464792417-2190489,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
10267-1464460292-2101923,Limburg,n@ty@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
10295-1464287210-1983785,Limburg,n@tyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
10873-1464181273-1912797,Limburg,n@tyl@k,xa,j@,vacn,hacrt,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
10988-1464181162-1913583,Limburg,natyrl@k,xa,j,facn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hox@r,dacn,j,dacxt
11719-1464610500-2146385,Limburg,natyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacx
12535-1464199223-1930135,Limburg,natyr@k,xa,j@,vacn,hacrt,wecrk@,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
13066-1464212829-1946915,Limburg,n@tyl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
13969-1464286333-1982061,Limburg,n@tyl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
14111-1477309707-2517066,Limburg,nadyrk,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
15579-1469788980-2416180,Limburg,natyl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
15592-1465473658-2283543,Limburg,ntyr@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
15779-1464358441-2037704,Limburg,n@tyr@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
15781-1465026168-2230315,Limburg,n@tyr@k,xa,j@,vacn,hacrt,wecrk@n,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
15972-1464425185-2081304,Limburg,ntyrl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
16149-1464381307-2067525,Limburg,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
16207-1464422857-2079483,Limburg,n@tyrk,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
16210-1464712859-2129861,Limburg,nacdyrl@k,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hox@,dacn,j@,dacx
16222-1464607288-2145294,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
16307-1464282941-1901759,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j@,dacxt
16326-1464609989-2146262,Limburg,n@tyr@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
16495-1464468393-2107728,Limburg,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
16938-1469369490-2411070,Limburg,natyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
17089-1475416083-2500514,Limburg,ntyrk,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacx
17469-1474488283-2492229,Limburg,natyl@k,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d,preis,socms,hogc@,dacn,j,dacxt
17777-1482062465-2543530,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j@,dacxt
1987-1450049389-662967,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
2339-1449580112-422010,Limburg,n@ty@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
2477-1450612762-724080,Limburg,natyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
2526-1457775722-1608818,Limburg,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
2720-1449366754-328149,Limburg,natyr@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hox,dacn,j,dacxt
3178-1449646620-521986,Limburg,n@tyl@k,xa,j@,vacn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacxt
3318-1449512933-444335,Limburg,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
3594-1449683134-541522,Limburg,n@tyrk,xa,j,facn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx
3677-1449672778-533452,Limburg,ndylk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@r,dacn,j@,dacx
3733-1455230017-1427252,Limburg,n@tyl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
3737-1455193174-1419995,Limburg,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
4502-1450732213-757741,Limburg,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j@,dacxt
4642-1450789294-762765,Limburg,tyk,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
4722-1451145873-786602,Limburg,nactyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j@,dacxt
4769-1451325178-803300,Limburg,n@dyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
4777-1451516003-829792,Limburg,n@tyrlk,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
4782-1451328214-806197,Limburg,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
4858-1451779797-842019,Limburg,natyk,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
5194-1453540669-921574,Limburg,n@tyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
5203-1453484349-919936,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacxt
5418-1454011547-1003508,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
5476-1454012578-1007130,Limburg,natyrk,xa,j@,facn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
5728-1454061620-1070209,Limburg,n@tyrk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
5900-1455446642-1449978,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j@,dacx
6178-1454052256-1061365,Limburg,n@ty@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j@,dacx
6499-1454441477-1251371,Limburg,n@tyrk,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j@,dacxt
6705-1454272639-1199472,Limburg,ndyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx
6969-1455101832-1410461,Limburg,natyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
6971-1454600574-1329168,Limburg,n@ty@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
7017-1457957017-1641474,Limburg,n@tyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j@,dacxt
7183-1455616384-1343849,Limburg,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
7202-1454614109-1335081,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
7358-1454701825-1360258,Limburg,n@tyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacx
7538-1455198888-1421435,Limburg,ndy@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
7543-1455207620-1422982,Limburg,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8132-1457632593-1572911,Limburg,ndyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
8289-1457726175-1602948,Limburg,nadyrl@k,xa,j,facn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8295-1457977226-1605510,Limburg,natyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8392-1457724478-1602498,Limburg,tyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8595-1457962083-1646426,Limburg,ntyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8668-1458673174-1698322,Limburg,natyk,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacx
8708-1457953964-1636714,Limburg,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacx
8788-1457957492-1642680,Limburg,n@tyrk,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
9006-1460799697-1765844,Limburg,n@tyl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
9096-1459554040-1725861,Limburg,n@tyl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
9109-1459941580-1744625,Limburg,n@tyrk,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j@,dacxt
9111-1460036966-1748589,Limburg,ntyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j@,dacxt
9114-1460036172-1745369,Limburg,nacdyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
9122-1459856534-1733018,Limburg,nadyr@k,xa,j,vacn,hacrt,wecrk@,heus,nit,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j@,dacxt
9128-1459887879-1741553,Limburg,n@tyl@k,xa,j,facn,hacr,wecrk@,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
9131-1459860561-1735058,Limburg,ntyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
9136-1459859983-1735180,Limburg,ntyrk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
9140-1459860553-1735646,Limburg,n@tyr@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
9145-1459870714-1737244,Limburg,tyk,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,mar,icn,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacxt
9157-1459874099-1739058,Limburg,natyl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
