filename,region,na,de,tocht,in,de,regen,vaart,de,kapitein,blij,weg
16266-1464422870-2079664,Groningen_and_Drenthe,na,d@,toc,icn,d@,regc@n,far,d@,kacp@tein,blei,wecx
16334-1464127739-1893927,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@,fart,d,kacpitein,blei,wecx
16451-1464365369-2047769,Groningen_and_Drenthe,na,d,tocx,icn,d,regc@n,var,d@,kacb@dein,blei,wecx
16457-1464378722-2059462,Groningen_and_Drenthe,na,d,tocxt,n,d,rex@,var,d,kacptein,blei,wecx
16681-1465501807-2287360,Groningen_and_Drenthe,na,d@,tocx,icn,d@,rex@,fart,d,kacpitein,blei,wecx
1669-1449164062-104009,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,fart,d,kacbidein,blei,wecx
16704-1465672805-2300791,Groningen_and_Drenthe,na,d@,tocx,icn,d,regc@n,var,d@,kacpitein,blei,wecx
16726-1465938682-2317215,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@,far,d@,kacpitein,blei,wecx
16771-1466193840-2333983,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx
1687-1449166872-112353,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,fart,d@,kacp@tein,blei,wecx
1707-1449560151-467969,Groningen_and_Drenthe,na,d@,tocxt,n,d,regc@n,fart,d,kacb@dein,blei,wecx
17145-1472371924-2438779,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc,fart,d,kacp@tein,blei,wecx
172-1449071275-13471,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacptein,blei,wecx
17227-1472373241-2444006,Groningen_and_Drenthe,na,d@,tocx,icn,d,regc@,far,d@,kacpitein,blei,wecx
17301-1472373890-2449174,Groningen_and_Drenthe,na,d@,tocx,icn,d,regc@,var,d@,k@pitein,blei,wecx
17402-1473099289-2483047,Groningen_and_Drenthe,na,d@,tocx,icn,d@,rex@n,fart,d,kacpitein,blei,wecx
17416-1473617956-2485822,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regcn,far,d@,kacptein,blei,wecx
17490-1474968167-2496937,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc,var,d@,kacptein,blei,wecx
1788-1449175552-138239,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx
1794-1449176003-140180,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,k@pitein,blei,wecx
1807-1449178286-144774,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,var,d@,k@pitein,blei,wecx
1902-1449189088-166189,Groningen_and_Drenthe,na,d@,tocxt,n,d,regc@n,fart,d@,kacpitein,blei,wecx
1944-1449217255-173151,Groningen_and_Drenthe,na,d@,tocx,n,d,regcn,far,d,kacpitein,blei,wecx
203-1449071737-16499,Groningen_and_Drenthe,na,d@,toc,n,d@,rex@,far,d@,kacpitein,blei,wecx
2108-1450213514-218083,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
214-1449071490-16950,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,kacp@tein,blei,wecx
2200-1449264358-236791,Groningen_and_Drenthe,na,d,tocx,n,d,regc@n,var,d@,kacptein,blei,wecx
2310-1449310451-259442,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,fart,d,kacpitein,blei,wecx
2349-1449315623-269597,Groningen_and_Drenthe,na,d,tocx,n,d@,regc@n,fart,d@,kacpitein,blei,wecx
235-1449072417-20017,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@,far,d@,kacpitein,blei,wecx
2381-1449315223-264931,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,var,d@,kacpitein,blei,wecx
2409-1449314637-266935,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@,far,d@,kacpitein,blei,wecx
243-1449244743-21050,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,k@pitein,blei,wecx
2499-1449338134-288152,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d,kacpitein,blei,wecx
2551-1449324648-286512,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@,fart,d,kacpitein,blei,wecx
2572-1449331864-291105,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regcn,far,d,kacptein,blei,wecx
266-1449073945-24358,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
28-1449002404-1824,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,far,d@,kacpitein,blei,wecx
2825-1450543462-333042,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d,kacp@tein,blei,wecx
2860-1449395418-337073,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@,var,d@,kacb@dein,blei,wecx
2963-1449405504-352160,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@n,far,d@,kacpitein,blei,wecx
2964-1449405408-352988,Groningen_and_Drenthe,na,d@,toc,n,d@,rex@n,far,d@,kacpitein,blei,wecx
298-1449076515-27151,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@n,var,d@,kacb@dein,blei,wecx
299-1449076429-27364,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@n,fart,d,kacpitein,blei,wecx
2998-1449407866-357257,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,var,d@,kacbidein,blei,wecx
3041-1449410240-362072,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx
3054-1449412316-365276,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regcn,far,d@,kacpitein,blei,wecx
3084-1449416967-372629,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,fart,d@,kacpitein,blei,wecx
313-1449077566-28754,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@,far,d@,kacptein,blei,wecx
3172-1449433503-395162,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx
318-1449077038-29638,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@,far,d@,kacp@tein,blei,wecx
3282-1449501306-430225,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,vart,d,kacptein,blei,wecx
333-1449078490-31929,Groningen_and_Drenthe,na,d@,tocx,n,d@,rex@n,fart,d,kacpitein,blei,wecx
3354-1449516274-447369,Groningen_and_Drenthe,na,d@,toc,n,d@,regcn,var,d@,kacptein,blei,wecx
3385-1450450350-455326,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@,far,d,kacptein,blei,wecx
3419-1449532109-465776,Groningen_and_Drenthe,na,d@,tocx,n,d@,regcn,var,d@,kacpitein,blei,wecx
3526-1449595966-490979,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,var,d@,kacpitein,blei,wecx
3944-1454352611-598916,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
3966-1449924601-606573,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,fart,d,kacb@dein,blei,wecx
3984-1449926752-608990,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacbdein,blei,wecx
4078-1449966154-627987,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacp@tein,blei,wecx
4087-1450040366-629465,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacptein,blei,wecx
4111-1449997441-631985,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,var,d@,k@pitein,blei,wecx
4181-1450012198-642669,Groningen_and_Drenthe,na,d@,tocx,n,d@,rexn,var,d@,kacptein,blei,wecx
420-1449132829-53599,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,kacp@tein,blei,wecx
4357-1450260438-695052,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx
4378-1450291229-702195,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
4406-1450364503-708810,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@n,fart,d,kacbidein,blei,wecx
4441-1450491321-720369,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,k@pitein,blei,wecx
4504-1450613229-739587,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,vart,d@,kacb@dein,blei,wecx
4616-1450701207-752237,Groningen_and_Drenthe,na,d,tocxt,icn,d@,rex@n,fart,d,kacpitein,blei,wecx
4725-1451141929-786179,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,fart,d,kacbidein,blei,wecx
4737-1451214723-790857,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,var,d,kacpitein,blei,wecx
4766-1451319685-800587,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,fart,d@,kacpitein,blei,wecx
4895-1451510239-828200,Groningen_and_Drenthe,na,d@,toc,n,d,regc@,var,d@,kacpitein,blei,wecx
4923-1451685598-836575,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
5153-1453226021-908758,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
5191-1453407929-916190,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,fart,d,kacpitein,blei,wecx
5383-1454008410-943765,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@,far,d@,kacpitein,blei,wecx
56-1449059179-4701,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacp@tein,blei,wecx
5655-1454015034-1016740,Groningen_and_Drenthe,na,d,toc,icn,d@,regcn,far,d,kacp@tein,blei,wecx
5658-1454017336-1033239,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,far,d@,kacpitein,blei,wecx
5669-1454010852-970807,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d,kacptein,blei,wecx
5674-1454008458-961964,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
6225-1454060103-1068990,Groningen_and_Drenthe,na,d@,toc,n,d@,rex@,far,d,kacp@tein,blei,wecx
6259-1454066121-1079122,Groningen_and_Drenthe,na,d@,toc,icn,d@,regc@n,vart,d@,k@bidein,blei,wecx
6283-1454069224-1084432,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d,kacp@tein,blei,wecx
6556-1454174784-1151605,Groningen_and_Drenthe,na,d,toc,n,d,regc@n,var,d@,kacp@tein,blei,wecx
6944-1454514072-1269060,Groningen_and_Drenthe,na,d@,toc,n,d@,regc@n,fart,d@,kacp@tein,blei,wecx
7039-1454514161-1272711,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacbidein,blei,wecx
7055-1458850771-1274120,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,vart,d,kacpitein,blei,wecx
7140-1454514921-1277014,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@,far,d@,kacp@tein,blei,wecx
7168-1460975246-1282729,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx
7257-1454963529-1322668,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@n,far,d,kacpitein,blei,wecx
7275-1454601633-1329247,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx
7279-1454607028-1331919,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@,far,d@,kacb@dein,blei,wecx
7281-1454609217-1332700,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@,var,d@,kacpitein,blei,wecx
7355-1454694992-1356715,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,fart,d,kacpitein,blei,wecx
7394-1454793730-1373537,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx
7436-1455037174-1385188,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@,fart,d,kacpitein,blei,wecx
7440-1454888909-1386912,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d,kacp@tein,blei,wecx
7470-1455007554-1398934,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,vart,d,kacpitein,blei,wecx
7661-1455632262-1463649,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@,fart,d,kacpitein,blei,wecx
7772-1455991864-1487054,Groningen_and_Drenthe,na,d,toc,n,d@,regcn,far,d@,kacpitein,blei,wecx
778-1455226830-1426706,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@n,far,d@,kacp@tein,blei,wecx
7790-1456076211-1491129,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@,fart,d@,kacpitein,blei,wecx
7834-1456783633-1498858,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,fart,d,kacpitein,blei,wecx
7863-1456485834-1505225,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx
7955-1456509019-1528983,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacp@tein,blei,wecx
7961-1456566187-1531124,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@n,far,d@,kacpitein,blei,wecx
8142-1457654751-1574057,Groningen_and_Drenthe,na,d@,tocxt,n,d@,rex@n,fart,d,kacpitein,blei,wecx
8404-1457714244-1583584,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@n,var,d@,kacb@dein,blei,wecx
8604-1457951340-1624677,Groningen_and_Drenthe,na,d@,tocxt,n,d@,regc@n,far,d@,kacptein,blei,wecx
8674-1457952301-1627064,Groningen_and_Drenthe,na,d@,toc,n,d@,rex@n,var,d@,kacptein,blei,wecx
8763-1457952193-1631841,Groningen_and_Drenthe,na,d@,tocx,n,d,regc@n,var,d@,kacbidein,blei,wecx
8834-1458054764-1659869,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx
8937-1458986343-1710097,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx
8963-1458479704-1689248,Groningen_and_Drenthe,na,d@,tocx,n,d@,regc@n,var,d@,kacb@dein,blei,wecx
9007-1458735416-1701019,Groningen_and_Drenthe,na,d@,toc,n,d,regc@n,far,d@,kacbidein,blei,wecx
9238-1460838677-1767053,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,vart,d@,kacb@dein,blei,wecx
9350-1462552399-1796207,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,fart,d@,kacptein,blei,wecx
9363-1462367544-1798907,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
9396-1462889588-1804982,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@n,fart,d@,kacpitein,blei,wecx
9571-1463949193-1831571,Groningen_and_Drenthe,na,d,toc,n,d@,regcn,var,d@,kacb@dein,blei,wecx
9623-1463763036-1834050,Groningen_and_Drenthe,na,d@,tocx,icn,d@,rex@,fart,d,kacp@tein,blei,wecx
9753-1463938875-1842093,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,rex@n,far,d,kacb@dein,blei,wecx
9789-1464933885-2213361,Groningen_and_Drenthe,na,d@,tocx,icn,d,regc@n,vart,d,kacpitein,blei,wecx
9822-1464259662-1957037,Groningen_and_Drenthe,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx
9908-1464109975-1872531,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc@,fart,d,kacp@tein,blei,wecx
9935-1464014948-1848861,Groningen_and_Drenthe,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
10015-1465413274-2277970,Limburg,na,d@,tocxt,icn,d@,regc@,var,d@,kacpitein,blei,wecx
10029-1466007518-1853039,Limburg,na,d@,tocx,icn,d@,regc@n,var,d@,kacpitein,blei,wecx
10038-1465762397-2307713,Limburg,na,d@,tocx,icn,d,regc@,var,d,k@pitein,blei,wecx
10103-1464126318-1891757,Limburg,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx
10198-1465815933-2310203,Limburg,na,d@,tocxt,icn,d@,regcn,var,d@,kacpitein,blei,wecx
10234-1464079166-1853462,Limburg,na,d@,toc,icn,d@,regcn,var,d@,k@bidein,blei,wecx
10241-1464790009-1905739,Limburg,na,d@,tocxt,icn,d@,regc@n,var,d@,kacpitein,blei,wecx
10267-1464421572-2079081,Limburg,na,d@,tocx,icn,d,regc,far,d,kacpitein,blei,wecx
10295-1464276002-1970805,Limburg,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx
10678-1464092800-1859758,Limburg,na,d@,tocxt,icn,d,regc@,var,d,kacp@tein,blei,wecx
10815-1464100190-1864718,Limburg,na,d@,toc,icn,d@,regcn,var,d@,kacbdein,blei,wecx
10873-1464120063-1884393,Limburg,na,d@,tocxt,n,d@,regc@n,vart,d,kacpitein,blei,wecx
10952-1464277936-1949153,Limburg,na,d@,tocx,icn,d@,regcn,far,d,kacp@tein,blei,wecx
10988-1464178328-1910976,Limburg,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
11135-1464105336-1868446,Limburg,na,d@,tocxt,icn,d@,regc@,var,d@,kacb@dein,blei,wecx
11196-1465782616-2309510,Limburg,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx
11225-1464114821-1876178,Limburg,na,d@,tocxt,icn,d@,regcn,far,d@,kacpitein,blei,wecx
11326-1464177889-1910685,Limburg,na,d@,tocx,icn,d@,regc@,vart,d,kacpitein,blei,wecx
11364-1465218275-2257921,Limburg,na,d@,tocxt,icn,d@,regc@,far,d@,kacptein,blei,wecx
11440-1464718676-2176764,Limburg,na,d@,toc,icn,d@,regc@,var,d,kacb@dein,blei,wecx
11719-1464169084-1904150,Limburg,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
12170-1464534260-2124640,Limburg,na,d@,tocxt,icn,d,regcn,var,d,kacptein,blei,wecx
12187-1464173243-1907215,Limburg,na,d,tocxt,n,d@,regc,var,d,kacp@tein,blei,wecx
12279-1470565779-2265836,Limburg,na,d@,tocx,icn,d,regcn,var,d@,kacbidein,blei,wecx
12292-1465132940-2240646,Limburg,na,d@,tocx,icn,d@,regc@n,fart,d,kacpitein,blei,wecx
12308-1465765113-2308646,Limburg,na,d@,tocxt,icn,d@,regcn,var,d@,kacpitein,blei,wecx
12535-1464186588-1917689,Limburg,na,d@,tocx,icn,d@,regc,far,d@,kacb@dein,blei,wecx
12960-1464199763-1931575,Limburg,na,d@,tocxt,icn,d@,regcn,far,d@,kacp@tein,blei,wecx
13066-1464202118-1930818,Limburg,na,d@,tocxt,icn,d@,rex@,fart,d,kacp@tein,blei,wecx
13371-1464258018-1958793,Limburg,na,d@,tocxt,icn,d@,regcn,var,d,kacpitein,blei,wecx
13627-1464338280-2012491,Limburg,na,d@,tocx,n,d@,regc@n,fart,d@,kacpitein,blei,wecx
13862-1464260053-1959627,Limburg,na,d@,tocxt,icn,d@,regc@,var,d@,kacp@tein,blei,wecx
13969-1464262430-1960768,Limburg,na,d@,tocx,icn,d@,regc,var,d,kacbidein,blei,wecx
14111-1477305446-2415172,Limburg,na,d@,tocxt,icn,d@,regc@n,vart,d@,k@bidein,blei,wecx
14556-1464432518-2086065,Limburg,na,d@,tocxt,icn,d@,regc@n,fart,d,kacpitein,blei,wecx
14759-1464463065-2104107,Limburg,na,d@,tocx,n,d@,regc@n,var,d@,kacpitein,blei,wecx
14812-1465501484-2286795,Limburg,na,d@,tocx,n,d@,regcn,var,d@,kacp@tein,blei,wecx
14847-1467748439-2396588,Limburg,na,d@,tocxt,icn,d@,regc@,var,d@,k@pitein,blei,wecx
14976-1464805362-2110560,Limburg,na,d@,tocxt,icn,d@,regc@n,var,d@,kacpitein,blei,wecx
1499-1449157902-75925,Limburg,na,d@,toc,n,d@,regc@,far,d@,kacptein,blei,wecx
15101-1464939225-2216813,Limburg,na,d@,tocx,icn,d@,regcn,var,d@,kacbidein,blei,wecx
15579-1465155904-2243590,Limburg,na,d@,tocx,icn,d@,regc@n,fart,d,kacpitein,blei,wecx
15588-1464943390-2217147,Limburg,na,d@,tocx,icn,d@,regc@,far,d@,kacbidein,blei,wecx
15592-1465470422-2283058,Limburg,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx
1568-1450185690-685682,Limburg,na,d@,tocxt,n,d@,regc@n,vart,d@,kacptein,blei,wecx
15779-1464355372-2033043,Limburg,na,d@,tocxt,icn,d,regc@,fart,d,kacpitein,blei,wecx
15781-1465020103-2229335,Limburg,na,d@,tocxt,icn,d@,regc@,fart,d,kacp@tein,blei,wecx
15937-1464367259-2050479,Limburg,na,d@,tocxt,n,d@,regc@,var,d@,kacpitein,blei,wecx
15955-1464367895-2051082,Limburg,na,d@,tocxt,icn,d@,regc@,vart,d@,kacpitein,blei,wecx
15972-1464362751-2043188,Limburg,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
16149-1464367006-2050154,Limburg,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx
16207-1464391646-2075599,Limburg,na,d@,tocx,icn,d,regc@,var,d,kacp@tein,blei,wecx
16210-1464534676-2125137,Limburg,na,d@,tocxt,n,d,regcn,fart,d,kacptein,blei,wecx
16222-1464424594-2080599,Limburg,na,d@,tocx,icn,d@,regc@,vart,d,kacpitein,blei,wecx
16307-1464114246-1877610,Limburg,na,d@,tocx,icn,d@,regcn,vart,d@,kacptein,blei,wecx
16311-1464116012-1879503,Limburg,na,d@,tocx,icn,d@,regcn,var,d@,kacbidein,blei,wecx
16326-1464605342-1890343,Limburg,na,d@,tocxt,icn,d@,regc@,vart,d,kacp@tein,blei,wecx
16328-1464125245-1891219,Limburg,na,d@,toc,icn,d,regc@n,far,d@,kacb@dein,blei,wecx
16495-1464465844-2105978,Limburg,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx
165-1449070750-13386,Limburg,na,d@,tocxt,n,d,regcn,vart,d,kacb@dein,blei,wecx
