filename,region,de,sprei,die,jij,bracht,heeft,Suzan,altijd,al,gewild,omdat,die,zo,leuk,staat,bij,het,gele,laken
11665-1464185644-1916520,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,zysacn,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
11863-1464244916-1954717,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
11968-1465942877-2317485,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sycsacn,aclteit,acl,x@wiclt,@mdact,di,so,leuk,stat,bei,hect,xel@,lak@n
12233-1464256077-1911214,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
12421-1465488800-2280747,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
12923-1464630046-2155544,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,heft,sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
12978-1464278632-1973630,Groningen_and_Drenthe,d@,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
12987-1464510053-2114333,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,mdact,di,so,leuk,stat,bei,hect,xel@,lak@n
13042-1464198833-1930259,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
13411-1464295228-1996444,Groningen_and_Drenthe,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
13602-1464259176-1959385,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
13856-1464262756-1960660,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
1393-1449156490-64622,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
13982-1464906582-2215229,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,sacn,aclteit,l,gc@wicl,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@n
14112-1464291965-1990786,Groningen_and_Drenthe,d@,zprei,di,jei,bracx,ef,z@sacn,aclteit,acl,gcwicl,mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
1421-1449156403-65972,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,eft,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n
14576-1464467246-2107187,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
14654-1464283295-1978657,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
14893-1466454420-2350165,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
14951-1464609083-2140774,Groningen_and_Drenthe,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
1508-1449157588-76545,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
15260-1464507240-2096072,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n
15342-1464340322-2015362,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,z@sacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
15470-1464644232-2163956,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
15527-1466443251-2348782,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
15537-1464554712-2136778,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
15591-1464811098-2027073,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,gc@wicl,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@
15737-1465508205-2288696,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
15908-1464434539-2087340,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,zycsacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
16209-1464372204-2056692,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,l,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
16245-1465248485-2107527,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
16266-1464422528-2079663,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
16334-1464127551-1893926,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n
16451-1464479044-2047770,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lack@n
16457-1464378948-2059463,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,xwiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
16681-1465501948-2287361,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
1669-1449163904-104010,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sycsacn,aclteit,acl,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
16704-1465673267-2300792,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gcwiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
16726-1465938667-2317214,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
16771-1466194170-2333982,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
1687-1449167106-112352,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,sacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
1707-1449560455-467970,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
17145-1472372187-2438778,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
172-1449070436-13470,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
17227-1472373580-2444007,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
17301-1472373903-2449173,Groningen_and_Drenthe,d,zprei,di,jei,bracx,heft,z@s@n,aclteit,l,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lack@
17402-1473098808-2483046,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
17416-1473618106-2485823,Groningen_and_Drenthe,d@,zprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
17490-1474968216-2496938,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zycsacn,aclteit,acl,xwicl,ocmdact,di,so,leuk,stat,bei,hect,gcicl@,lak@
1788-1449175971-138240,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
1794-1449176631-140181,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
1807-1449177557-144773,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
1902-1449189406-166188,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
1944-1449216455-173150,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,l,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
203-1449070985-16500,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
2108-1449330374-218084,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,heft,sysacn,aclteit,acl,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
214-1449071451-16949,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zycsacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
2200-1449263922-236792,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n
2310-1449310626-259441,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,l,gc@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
2349-1449315607-269598,Groningen_and_Drenthe,d@,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
235-1449072333-20018,Groningen_and_Drenthe,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
2381-1449315727-264932,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
2409-1449314760-266934,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
243-1449244911-21049,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zycsacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
2499-1449338121-288153,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
2551-1449324742-286511,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@
2572-1449331828-291106,Groningen_and_Drenthe,d,sprei,di,jei,bracx,ef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,xicl@,lak@
266-1449074352-24359,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
28-1449002700-1825,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
2825-1450543213-333041,Groningen_and_Drenthe,d@,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@
2860-1449395608-337074,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
2963-1449406105-352159,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
2964-1449405139-352987,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xicl@,lack@n
298-1449076082-27150,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,s@n,aclteit,l,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n
299-1449075938-27363,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
2998-1449408055-357256,Groningen_and_Drenthe,d,zprei,di,jei,bracx,ef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
3041-1449409963-362073,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,zycsacn,aclteit,l,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
3054-1449412091-365275,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lack@n
3084-1449417401-372630,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
313-1449076882-28752,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@
3172-1449433995-395163,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,z@s@n,aclteit,l,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
318-1449077550-29637,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
3282-1449501342-430224,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
333-1449078407-31930,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n
3354-1449516516-447368,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,xwicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@n
3385-1450450002-455325,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wicl,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
3419-1449531800-465777,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,heft,s@n,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xicl@,lak@
3526-1452164654-490978,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,heft,zysacn,aclteit,l,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
3944-1454351623-598915,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sycsacn,aclteit,acl,xwiclt,ocmdact,di,so,leuk,stat,bei,hect,gcicl@,lak@n
3966-1449924790-606574,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
3984-1449926705-608991,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@
4078-1449966080-627986,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
4087-1449972002-629466,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,heft,z@sacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,gcel@,lak@n
4111-1449997782-631986,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,l,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@
4181-1450012289-642668,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,hef,s@sacn,aclteit,acl,gcwiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
420-1449132456-53598,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,l,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
4357-1450260221-695051,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,s@sacn,aclteit,acl,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
4378-1450291296-702194,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,gc@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@
4406-1450364095-708809,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,heft,zysacn,aclteit,acl,gcwicl,ocmdact,di,so,leuk,stat,bei,hect,xicl@,lack@n
4441-1450491395-720368,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,z@sacn,aclteit,l,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
4504-1450613516-739586,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
4616-1450701291-752238,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
4725-1451141718-786180,Groningen_and_Drenthe,d,zprei,di,jei,bracx,ef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
4737-1451214259-790856,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n
4766-1451319429-800588,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,@mdact,di,so,leuk,stat,bei,hect,xicl@,lak@n
4895-1451510082-828199,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
4923-1451686166-836576,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwicl,@mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
5153-1453226043-908757,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zycsacn,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,gcel@,lak@
5191-1453409561-916191,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
5383-1454008525-943766,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
56-1449059221-4702,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
5655-1454014642-1016739,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
5658-1454016719-1033238,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
5669-1454010931-970808,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
5674-1454008676-961965,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
6225-1454059654-1068991,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
6259-1454066629-1079121,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@
6283-1454069779-1084433,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
6556-1454173794-1151604,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@
6944-1454513997-1269059,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@
7039-1454514020-1272710,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wicl,@mdact,di,so,leuk,stat,bei,hect,xel@,lak@n
7055-1454514179-1274119,Groningen_and_Drenthe,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@
7140-1454515774-1277013,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
7168-1460974847-1282730,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
7257-1454963211-1322667,Groningen_and_Drenthe,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
7275-1454600912-1329248,Groningen_and_Drenthe,d,zprei,di,jei,bracx,hef,s@sacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
7279-1454607339-1331920,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n
7281-1454610097-1332701,Groningen_and_Drenthe,d@,sprei,di,jei,bracx,heft,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n
7355-1454695072-1356714,Groningen_and_Drenthe,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@
7394-1454794114-1373538,Groningen_and_Drenthe,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n
7436-1455037130-1385189,Groningen_and_Drenthe,d@,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n
