filename,region,zacht,knort,het,varken,in,de,wei,een,karakteristiek,geluid
3984-1450772308-760460,Groningen_and_Drenthe,sacxt,knocr,hect,vacrk@,n,d,wei,@,karackt@r@stik,gc@luit
4111-1450004774-636312,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@n,n,d,wei,@n,kacrackt@r@stik,gc@luit
4357-1450263122-695446,Groningen_and_Drenthe,zacxt,kn@r,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit
4378-1450525875-722546,Groningen_and_Drenthe,sacx,knocrt,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
4406-1452359900-877783,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
4616-1450896257-770555,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
4725-1451143994-786730,Groningen_and_Drenthe,sacxt,knocr,hect,vacrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit
4766-1451504371-827614,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
4895-1451512577-828926,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
4923-1453397920-915602,Groningen_and_Drenthe,zacx,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
5153-1457516520-946396,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@n,icn,d,wei,@,karackt@r@stik,xluit
5383-1454010939-993534,Groningen_and_Drenthe,sacxt,kn@r,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
5669-1454599313-1328428,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,n,d,wei,@n,karackt@r@stik,x@luit
6225-1454062734-1072161,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gcluit
6259-1455285576-1430725,Groningen_and_Drenthe,zacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
7039-1454586937-1322739,Groningen_and_Drenthe,zacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,gc@luit
7055-1458853138-1705454,Groningen_and_Drenthe,zacx,knrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,xluit
7140-1454519987-1291925,Groningen_and_Drenthe,zacx,knocrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
7275-1456400423-1483995,Groningen_and_Drenthe,sacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
7440-1454956561-1392725,Groningen_and_Drenthe,zacx,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
7470-1455010316-1400166,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@,karackt@r@stik,x@luit
7790-1456078887-1491886,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
7955-1463165405-1812850,Groningen_and_Drenthe,zacx,kn@r,hect,vacrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
7961-1456579226-1532318,Groningen_and_Drenthe,sacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
8404-1458301219-1677745,Groningen_and_Drenthe,sacxt,knocr,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,xluit
8674-1457954120-1637296,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
8763-1458205927-1666262,Groningen_and_Drenthe,sacx,kn@r,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
8834-1458057428-1660740,Groningen_and_Drenthe,zacxt,knocr,hect,facrk@n,icn,d,wei,n,kacrackt@r@stik,x@luit
8937-1459254043-1717809,Groningen_and_Drenthe,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
8963-1458482032-1689424,Groningen_and_Drenthe,sacx,knocr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gcluit
9363-1462391436-1799749,Groningen_and_Drenthe,zacxt,knocrt,hect,facrk@n,icn,d,wei,n,karackt@r@stik,x@luit
9571-1463950866-1846056,Groningen_and_Drenthe,zacx,kn@r,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit
9623-1463764915-1834338,Groningen_and_Drenthe,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
9789-1464980752-2225408,Groningen_and_Drenthe,sacx,knocr,hect,vacrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit
9935-1464218044-1951631,Groningen_and_Drenthe,sacx,knocr,hect,facrk@n,n,d@,wei,n,kacrackt@r@stik,x@luit
10015-1465415631-2278640,Limburg,sacxt,knocrt,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
10029-1466013860-2321503,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,n,karackt@r@stik,gc@luit
10038-1465763502-2308303,Limburg,sacx,kn@r,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
10241-1464791582-2190333,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,n,karackt@r@stik,xluit
10267-1464460169-2101309,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,gc@luit
10295-1464286824-1972465,Limburg,sacx,knocr,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
10873-1464123762-1889881,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
10988-1464180420-1913041,Limburg,sacxt,knocr,hect,facrk@n,icn,d@,wei,@,kacrackt@r@stik,gc@luit
11719-1464609687-2145873,Limburg,sacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
12292-1468404647-2403416,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
12535-1464198449-1928795,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
13066-1464208879-1942393,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
13627-1464340764-2015985,Limburg,sacx,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
13969-1464285524-1981432,Limburg,zacxt,knocr,hect,facrk@,n,d@,wei,@n,kacrackt@r@stik,gc@luit
14111-1477309190-2516970,Limburg,zacx,knocrt,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
15101-1464944163-2217286,Limburg,sacxt,knocr,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
15579-1469788689-2416092,Limburg,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gc@luit
15588-1466157450-2330937,Limburg,sacxt,knocr,hect,facrk@,n,d@,wei,@n,karackt@r@stik,gc@luit
15592-1465472048-2283392,Limburg,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
15779-1464357557-2036727,Limburg,sacxt,knocrt,hect,vacrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
15781-1465025977-2230215,Limburg,zacx,knocr,hect,vacrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
15972-1464424403-2080893,Limburg,sacxt,knocr,hect,vacrk@n,icn,d@,wei,@n,karackt@r@stik,gc@luit
16149-1464375282-2060388,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
16207-1464421858-2078785,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@,kacrackt@r@stik,gc@luit
16210-1464544785-2129241,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
16222-1464606016-2144953,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
16307-1464164775-1901141,Limburg,sacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
16326-1464609386-2145722,Limburg,sacxt,knocrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
16495-1464467723-2107432,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
165-1449670671-167617,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
16938-1469366248-2410972,Limburg,zacx,knocrt,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
17089-1473520523-2485435,Limburg,sacx,knocr,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
1726-1463925855-181827,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
17469-1474487354-2492133,Limburg,zacxt,knocr,hect,facrk@n,n,d,wei,@n,kacrackt@r@stik,gc@luit
17777-1482061524-2543434,Limburg,sacxt,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
1987-1450049184-567701,Limburg,sacxt,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,gc@luit
2339-1449326298-277926,Limburg,zacx,knocr,hect,vacrk@,icn,d@,wei,@,kacrackt@r@stik,gcluit
2477-1449570341-472958,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
2526-1449833345-587380,Limburg,sacxt,knocr,hect,vacrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
2720-1449362688-327349,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,n,karackt@r@stik,gc@luit
2782-1459947516-1673542,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
2981-1449947737-622542,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,n,karackt@r@stik,gc@luit
3178-1449646300-440376,Limburg,zacxt,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
3293-1449702955-556242,Limburg,sacxt,knocr,hect,facrk@,n,d,wei,@n,kacrackt@r@stik,gc@luit
3318-1449511483-442774,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
3594-1449680916-539187,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
3677-1449657462-525887,Limburg,sacxt,knocrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
3733-1450031789-655273,Limburg,sacxt,knocr,hect,vacrk@n,icn,d,wei,@n,karackt@r@stik,gc@luit
3737-1455192224-1324404,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
4502-1450731408-757456,Limburg,sacx,knocrt,hect,facrk@,icn,d,wei,@,karackt@r@stik,x@luit
4642-1450788072-762501,Limburg,sacx,knocr,hect,facrk@n,n,d@,wei,@n,kacrackt@r@stik,gc@luit
4672-1451772048-841210,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
4722-1451143332-785635,Limburg,zacx,knocr,hect,facrk@,n,d,wei,@,kacrackt@r@stik,gcluit
4769-1451323313-802713,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,gc@luit
4772-1451330025-806474,Limburg,sacxt,knocrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
4777-1451481944-825839,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
4782-1451327234-805150,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
4830-1454349773-876101,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
4851-1452296887-837277,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,x@luit
4858-1451779245-830432,Limburg,sacx,knocr,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
5058-1463953871-1103865,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,xluit
5194-1453539793-921342,Limburg,zacx,knocr,hect,vacrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
5203-1453481228-919597,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gcluit
5418-1454011229-992912,Limburg,sacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
5476-1454011597-998120,Limburg,zacxt,knocrt,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
5728-1454060785-1069210,Limburg,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit
5900-1455445799-1449713,Limburg,sacxt,knocrt,hect,vacrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
5981-1463949318-1845540,Limburg,zacxt,knocr,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
6178-1454051808-1060716,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
6187-1456605704-1489250,Limburg,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
6499-1454440975-1250338,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
6705-1454271135-1198861,Limburg,zacx,knocr,hect,facrk@,n,d@,wei,n,karackt@r@stik,gc@luit
6875-1454502874-1261742,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
6969-1455101736-1410084,Limburg,zacxt,knocrt,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
6971-1454599476-1328617,Limburg,sacx,knocr,hect,facrk@,n,d,wei,n,kacrackt@r@stik,gc@luit
7017-1454591613-1325104,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,@,karackt@r@stik,gc@luit
7183-1454659273-1319286,Limburg,zacx,knocr,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
7202-1454613984-1314652,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
7358-1454701128-1359846,Limburg,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
7538-1455197818-1421228,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
7543-1455206101-1422683,Limburg,zacxt,knocr,hect,facrk@n,icn,d@,wei,n,kacrackt@r@stik,x@luit
8132-1457625015-1571914,Limburg,zacx,kn@rt,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
8289-1457724806-1595566,Limburg,sacx,knocr,hect,facrk@n,n,d@,wei,n,karackt@r@stik,xluit
8295-1457732729-1605295,Limburg,sacxt,knocrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
8392-1457724254-1601968,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
8490-1459538260-1601071,Limburg,zacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
8595-1457961518-1645530,Limburg,sacxt,knocrt,hect,facrk@,n,d,wei,@n,karackt@r@stik,x@luit
8668-1458205686-1671910,Limburg,sacxt,knocr,hect,facrk@,n,d@,wei,@,karackt@r@stik,x@luit
8708-1457953246-1635006,Limburg,sacx,knocrt,hect,facrk@,icn,d@,wei,@,karackt@r@stik,gc@luit
8788-1457956585-1641942,Limburg,sacx,knocr,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
9006-1460798609-1765748,Limburg,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
9096-1459551500-1725763,Limburg,sacx,knocr,hect,vacrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
9109-1459937855-1744188,Limburg,sacx,knocr,hect,facrk@,n,d@,wei,n,karackt@r@stik,x@luit
9111-1460036282-1748493,Limburg,sacx,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
9114-1459951174-1745140,Limburg,zacx,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
9122-1459855495-1732482,Limburg,zacxt,knocrt,hect,facrk@,n,d@,wei,@n,kacrackt@r@stik,gc@luit
9128-1459887035-1741458,Limburg,sacx,knocrt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gcluit
9131-1459858626-1734299,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
9136-1459858960-1734650,Limburg,sacx,knr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
9140-1459860110-1735300,Limburg,zacx,knocr,hect,vacrk@,icn,d,wei,@,kacrackt@r@stik,gc@luit
9145-1459864361-1737147,Limburg,zacx,knocrt,hect,vacrk@,icn,d@,wei,n,kacrackt@r@stik,gc@luit
9157-1459873138-1738963,Limburg,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
9161-1459933063-1743543,Limburg,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
9164-1459876332-1739883,Limburg,sacxt,knocrt,hect,facrk@,icn,d,wei,@,kacrackt@r@stik,gc@luit
9175-1459975125-1746897,Limburg,sacx,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
9179-1459987440-1747417,Limburg,sacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,gcluit
9181-1459970284-1746618,Limburg,zacx,knrt,hect,facrk@,n,d,wei,@n,karackt@r@stik,gcluit
9240-1460554319-1761329,Limburg,zacxt,knocrt,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,gc@luit
9531-1463926360-1842596,Limburg,zacxt,knocr,hect,vacrk@,icn,d@,wei,@n,kacrackt@r@stik,gc@luit
10442-1465979972-2317803,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@,karackt@r@stik,x@luit
10609-1464163597-1899837,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,gc@luit
10895-1464108140-1870550,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@,n,d,wei,@n,karackt@r@stik,gcluit
11791-1466162845-2331542,Oost_Overijsel-Gelderland,sacx,kn@r,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
11940-1464641688-2162771,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,xluit
12145-1466103682-2097055,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,xluit
13104-1464302896-2005077,Oost_Overijsel-Gelderland,zacxt,kn@r,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
13285-1464900511-2213089,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
13452-1464291253-1990344,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d@,wei,@,kacrackt@r@stik,x@luit
13550-1465928184-2316159,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,xluit
13884-1465542552-2289822,Oost_Overijsel-Gelderland,sacxt,knocr,hect,vacrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
14656-1464340416-2015616,Oost_Overijsel-Gelderland,zacx,kn@rt,hect,vacrk@,icn,d,wei,@n,karackt@r@stik,x@luit
14949-1464437901-2088667,Oost_Overijsel-Gelderland,sacxt,knocrt,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,gc@luit
14966-1464384388-2071422,Oost_Overijsel-Gelderland,sacxt,kn@rt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
1524-1453229861-909128,Oost_Overijsel-Gelderland,zacxt,knr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
15456-1464345024-2021287,Oost_Overijsel-Gelderland,sacxt,knr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,gc@luit
15474-1464524609-2105641,Oost_Overijsel-Gelderland,zacxt,knr,hect,facrk@,icn,d@,wei,@,karackt@r@stik,gc@luit
15629-1464801198-2191973,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
15664-1464356369-2035261,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,vacrk@,icn,d@,wei,n,kacrackt@r@stik,x@luit
16057-1464364058-2045017,Oost_Overijsel-Gelderland,sacxt,knocrt,hect,facrk@n,icn,d,wei,n,karackt@r@stik,x@luit
16188-1465373862-2134241,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
16270-1464091254-1858151,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,gcluit
16368-1464280691-1974982,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@,icn,d,wei,n,karackt@r@stik,xluit
16497-1464683935-2167630,Oost_Overijsel-Gelderland,zacxt,knocr,hect,vacrk@,icn,d@,wei,@,karackt@r@stik,xluit
16501-1464622332-2151703,Oost_Overijsel-Gelderland,zacx,knr,hect,facrk@,n,d,wei,@n,karackt@r@stik,x@luit
16505-1464543677-2128458,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,xluit
1654-1449406245-355479,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gc@luit
17187-1472374246-2452007,Oost_Overijsel-Gelderland,sacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
