filename,region,Kort,na,het,wielerfestijn,verbruikte,Dries,de,rest,van,de,deodrant
3526-1454538884-1315069,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
3966-1452612962-888387,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
3984-1450772960-760592,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,d@@docracn
4111-1450006066-637166,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt
4357-1450305723-704543,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
4406-1453647054-926443,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
4616-1450897994-770686,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
4895-1451575497-832227,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
4923-1455303721-1435750,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
5153-1457517230-1567292,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
5383-1454063369-1073530,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
5669-1454600224-1328915,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,d@od@racn
6225-1454063492-1074069,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
6259-1455286338-1430871,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
7039-1454588067-1323537,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
7140-1454521719-1298411,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,vacn,d@,d@@docracnt
7275-1456401084-1518806,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,facn,d@,d@@docracnt
7470-1455108367-1402852,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
7790-1456080193-1492046,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,facn,d,d@@docracnt
7955-1463166443-1813011,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracn
7961-1456580698-1532443,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,vacn,d@,deodocracnt
8404-1458302879-1677900,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
8674-1457954707-1638925,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
8763-1458206684-1672041,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,d@od@racnt
8834-1458058266-1660966,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
8937-1460648218-1762452,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracn
8963-1458485194-1689681,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,d@od@racn
9363-1462391755-1799836,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
9789-1465022228-2229465,Groningen_and_Drenthe,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recst,facn,d@,deodocracnt
9935-1464219545-1952043,Groningen_and_Drenthe,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,facn,d@,deodocracnt
10015-1465416760-2278882,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
10038-1465798088-2309629,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,dicocdocracnt
10241-1464792122-2190490,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
10267-1464460531-2101922,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,dicocdocracnt
10295-1464287081-1983784,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,dicocdocracnt
10873-1464181259-1912798,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
10988-1464181506-1913582,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
11719-1464610062-2146386,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
12535-1464199587-1930136,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
13066-1464212643-1946914,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
13969-1464286480-1982060,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
14111-1477309816-2517067,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracnt
15579-1469789221-2416181,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
15592-1465472931-2283542,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
15779-1464358385-2037705,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
15781-1465026330-2230314,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
15972-1464425572-2081303,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracn
16149-1464381324-2067526,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
16207-1464422735-2079484,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt
16210-1464712458-2129862,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d,d@@docracn
16222-1464607296-2145295,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
16307-1464263234-1901758,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
16326-1464610083-2146263,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracn
16495-1464468965-2107729,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,facn,d,deodocracnt
16938-1469367379-2411071,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
17469-1474488334-2492230,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d,deodocracnt
17777-1482062532-2543529,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
1987-1450049375-662966,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
2339-1449580558-422009,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
2477-1450597097-724079,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
2526-1457776068-1608817,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,facn,d@,deodocracnt
2720-1449364980-328148,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
2981-1449948720-622973,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
3178-1449647077-521985,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
3318-1449512612-444334,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d,deodocracnt
3594-1449683570-541521,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracn
3677-1449672640-533453,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,d@@docracn
3733-1455230032-1427253,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
3737-1455192735-1419996,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
4502-1450732453-757740,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,d@@docracnt
4642-1450789031-762766,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
4722-1451143430-786603,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
4769-1451325103-803301,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d,deodocracn
4777-1451515602-829791,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
4782-1451328844-806198,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
4858-1451779889-842018,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracn
5194-1453540406-921575,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn
5203-1453484883-919937,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
5418-1454011472-1003507,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
5476-1454012646-1007131,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,vacn,d@,deodocracnt
5728-1454061297-1070210,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
5900-1455446164-1449979,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
6178-1454052382-1061364,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,dicocdocracnt
6499-1454442016-1251370,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,d@@docracnt
6705-1454271966-1199471,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,dicocdocracnt
6969-1455102249-1410460,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
6971-1454600723-1329169,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracn
7017-1457956797-1641473,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,vacn,d@,deodocracnt
7183-1455616258-1343850,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,deodocracn
7202-1454615150-1335080,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dr@s,d@,recs,vacn,d@,deodocracn
7358-1454701983-1360257,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt
7538-1455198974-1421434,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
7543-1455207305-1422983,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracn
8132-1457631659-1572912,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
8289-1457726134-1602949,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
8295-1457977064-1605511,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
8392-1457725090-1602497,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recst,facn,d@,deodocracnt
8490-1460315260-1756098,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracn
8595-1457962645-1646427,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
8668-1458673826-1698321,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
8708-1457954081-1636713,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d,deodocracn
8788-1457957404-1642681,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d,deodocracnt
9006-1460799705-1765843,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
9096-1459552996-1725862,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
9109-1459942103-1744626,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
9111-1460036658-1748590,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
9114-1460036786-1745368,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracn
9122-1459856479-1733017,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,dicocdocracnt
9128-1459887657-1741554,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
9131-1459859714-1735057,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
9136-1459859539-1735181,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,d@od@racnt
9140-1459860474-1735647,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
9145-1459870632-1737243,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn
9157-1459874082-1739059,Limburg,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recst,vacn,d,deodocracnt
9161-1459956165-1745700,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
9164-1459879210-1740171,Limburg,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
9175-1460205482-1753545,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,facn,d@,deodocracnt
9179-1460139608-1752004,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
9181-1460143434-1752398,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
9240-1460554895-1761424,Limburg,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
9531-1464108332-1843150,Limburg,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
10442-1465981167-2317889,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
10609-1466105926-1900416,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
10895-1464279916-1974102,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
11791-1466163588-2331628,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn
12145-1466104362-2328621,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
13104-1464304108-2005966,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
13285-1465072191-2236041,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,d@@docracnt
13452-1464612240-2147320,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
13550-1465928768-2316400,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,d@@docracnt
14656-1464341353-2016800,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
14949-1464440245-2089991,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
14966-1464385764-2072442,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
15456-1464346179-2021967,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
15474-1464525781-2121525,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
15629-1464802188-2192866,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
16057-1464364370-2045676,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
16270-1464092127-1858787,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,facn,d@,deodocracn
16497-1464685185-2167883,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
16501-1464623331-2152006,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
16505-1464544283-2128907,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracn
1654-1449522961-456555,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt
17518-1476865231-2509326,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
17700-1480113862-2533739,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dr@s,d@,recs,vacn,d@,d@@docracnt
2486-1449329063-289065,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracn
2625-1452285330-872242,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
3060-1449666324-530909,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,deodocracnt
309-1449235669-178079,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
3377-1449689429-547515,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
3399-1449981308-549457,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
3583-1449677301-536710,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
4245-1450075609-665579,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,d@od@racnt
4373-1450275722-698435,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
4424-1458131015-1667444,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
4444-1450601475-734826,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
4495-1451313282-799351,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
4674-1450969971-774670,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
4937-1451770947-840652,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracnt
5559-1454011793-997358,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
5598-1454103222-1124552,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
5857-1457612711-1571223,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
6030-1454018102-1037111,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
6077-1460577099-1761667,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt
6308-1454423897-1244382,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt
6545-1454276636-1202655,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recst,facn,d@,deodocracnt
6796-1454361950-1232503,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d,deodocracnt
6930-1456498251-1527784,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracn
6968-1454525487-1301583,Oost_Overijsel-Gelderland,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt
828-1449173839-133123,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,facn,d@,deodocracn
8391-1462471483-1801567,Oost_Overijsel-Gelderland,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt
